covariate,coef,penalized
GENDER_MALE,0.466902868279068,False
AGE,0.0071951356384263344,False
PANEL_VERSION_p2,-0.024276596454590346,False
PANEL_VERSION_p3,-0.20244630503494643,False
PANEL_VERSION_p3.1,-0.03020897103191064,False
PC1,0.1370916194252453,False
PC2,-0.4259028012887736,False
PC3,-0.052737146950476675,False
PC4,-0.3241811245032159,False
PC5,-0.09820245136698777,False
Mutation_burden,-1.8214258512395915e-09,True
Mutation_burden:TET2,-2.9031195846850676e-08,True
Mutation_burden:EGFR,-0.051151152630081076,True
Mutation_burden:DNMT3A,1.5061025415938825e-07,True
Mutation_burden:NOTCH1,3.5106808280524596e-07,True
Mutation_burden:ASXL1,6.222381795045568e-08,True
Mutation_burden:IKZF1,2.1582658632920316e-07,True
Mutation_burden:TERT,-4.607714321877603e-07,True
Mutation_burden:TP53,0.5003644662592761,True
Mutation_burden:ATM,7.000637234418367e-08,True
Mutation_burden:CUX1,3.8212474513788875e-07,True
Mutation_burden:RUNX1,-0.11826782107501706,True
Mutation_burden:GNAS,1.745748438417105e-08,True
Mutation_burden:CREBBP,1.9236288257128562e-07,True
Mutation_burden:FLT3,-3.2489936342980333e-07,True
Mutation_burden:SF3B1,-0.01227088737143041,True
Mutation_burden:SETD2,1.4481747503143715e-07,True
Mutation_burden:JAK3,1.373336493964663e-07,True
Mutation_burden:EP300,2.0267163916809064e-08,True
Mutation_burden:SH2B3,-7.182565816876588e-08,True
Mutation_burden:CDK12,-3.101839492722854e-07,True
Mutation_burden:FGFR2,1.0900701956253011e-07,True
Mutation_burden:ERBB2,-1.1529330649106952e-07,True
Mutation_burden:BRCA2,0.09945967049525085,True
Mutation_burden:GLI1,2.7752620376503673e-07,True
Mutation_burden:MET,1.9718570250542653e-07,True
Mutation_burden:IGF1R,0.00032593323120107146,True
Mutation_burden:KIT,-5.497786155843299e-08,True
Mutation_burden:PIK3CA,-7.501918137260624e-09,True
Mutation_burden:PIK3C2B,1.193660087276945e-07,True
Mutation_burden:CSF3R,-2.6939621671415307e-07,True
Mutation_burden:KDR,3.268038202036935e-08,True
Mutation_burden:SDHA,0.11519638228627553,True
Mutation_burden:KAT6A,-8.564333738646102e-08,True
Mutation_burden:ZNF217,-3.007643352014249e-07,True
Mutation_burden:NOTCH2,-4.328701144653977e-08,True
Mutation_burden:NF1,-7.92099176106493e-08,True
Mutation_burden:JAK2,-3.554495704153953e-07,True
Mutation_burden:CDH4,-1.4856864536026185e-07,True
Mutation_burden:PTEN,0.017938935551048907,True
Mutation_burden:GATA3,-4.904784665900819e-07,True
Mutation_burden:WHSC1L1,1.3676687061573784e-07,True
Mutation_burden:ERBB3,-1.2559062787541228e-07,True
Mutation_burden:ALK,-0.3950287568387004,True
Mutation_burden:MECOM,-1.9330267202748942e-07,True
Mutation_burden:ARID2,1.531281403506228e-07,True
Mutation_burden:KMT2A,-3.179228039425215e-07,True
Mutation_burden:PRKDC,-1.104810751456775e-07,True
Mutation_burden:POLQ,5.011463431150422e-08,True
Mutation_burden:NOTCH3,3.113376501601522e-08,True
Mutation_burden:POLE,2.0225113827052062e-07,True
Mutation_burden:SETBP1,1.9090246613858433e-07,True
Mutation_burden:CIC,1.540120434019522e-09,True
Mutation_burden:ERCC6,3.9813204611301626e-08,True
Mutation_burden:KDM5A,-4.008632367421494e-08,True
Mutation_burden:PMS2,6.403070959402024e-08,True
Mutation_burden:FLT1,-2.3803769239195872e-07,True
Mutation_burden:DOCK8,2.3347090613894704e-07,True
Mutation_burden:SMARCA4,-4.2650651972390405e-07,True
Mutation_burden:SLX4,8.571120738579496e-08,True
Mutation_burden:BRIP1,-1.1597403273660357e-07,True
Mutation_burden:RECQL4,-3.245764851383741e-08,True
Mutation_burden:FAT1,0.043466373819705216,True
Mutation_burden:PTPN14,7.351367676845088e-07,True
Mutation_burden:CARD11,-4.4434964572289846e-08,True
Mutation_burden:KAT6B,0.005312655808382876,True
Mutation_burden:CDKN2A,-6.221757225032549e-08,True
Mutation_burden:KMT2D,-0.13231340035136907,True
Mutation_burden:KIF1B,1.012317195030697e-07,True
Mutation_burden:MTOR,-4.7497297136463225e-08,True
Mutation_burden:CIITA,2.106680391549177e-07,True
Mutation_burden:PALB2,0.043563852076383754,True
Mutation_burden:ARHGAP35,1.8801977818491674e-07,True
Mutation_burden:ATR,-1.1372075712720462e-07,True
Mutation_burden:MAP3K1,-0.08999453345393056,True
Mutation_burden:ARID1A,6.574144187461976e-08,True
Mutation_burden:PIK3R1,5.019596299584824e-08,True
Mutation_burden:ERCC5,-0.07481784652565705,True
Mutation_burden:ARID1B,5.0017940418083e-08,True
Mutation_burden:ERCC2,3.6364507637696616e-08,True
Mutation_burden:TSC1,-2.0918096937252304e-07,True
Mutation_burden:ERBB4,-1.4951863621966183e-07,True
Mutation_burden:NSD1,-7.159282336267836e-08,True
Mutation_burden:DICER1,-3.3585441837602627e-07,True
Mutation_burden:FANCD2,-9.830756920394112e-09,True
Mutation_burden:NFKBIZ,1.6422889886346054e-08,True
Mutation_burden:XPC,1.2455462112074115e-07,True
Mutation_burden:WHSC1,-7.465744255192823e-10,True
Mutation_burden:FGFR3,-1.0602320778500751e-07,True
Mutation_burden:BRCA1,-1.212579152792124e-07,True
Mutation_burden:ROS1,2.690714036605913e-07,True
Mutation_burden:PDGFRB,-1.6645152971634132e-07,True
Mutation_burden:MSH6,5.4420553834261994e-08,True
Mutation_burden:COL7A1,-1.5735987122406826e-07,True
Mutation_burden:DDR2,-2.6965284658977653e-07,True
Mutation_burden:MGA,3.846611122531135e-08,True
Mutation_burden:MEN1,-6.525056321467755e-08,True
Mutation_burden:AKT1,0.06569230892431083,True
Mutation_burden:TOPBP1,8.317849146035575e-08,True
Mutation_burden:BLM,1.7120006908118236e-08,True
Mutation_burden:MSH2,2.191404366870247e-07,True
Mutation_burden:FANCA,-0.05551923164525625,True
Mutation_burden:NTRK3,-1.9112828659381374e-07,True
Mutation_burden:STK11,2.3715723243537396e-07,True
Mutation_burden:FGFR4,9.435377614421629e-09,True
Mutation_burden:MUTYH,-3.1531489809167397e-07,True
Mutation_burden:FANCM,8.669125182650237e-08,True
Mutation_burden:ESR1,0.2605597518409475,True
Mutation_burden:APC,-0.05591108328348752,True
Mutation_burden:RBBP8,-1.0474034753876134e-08,True
Mutation_burden:BRD4,0.05812799549787326,True
Mutation_burden:CDKN1B,-0.047196387902519336,True
Mutation_burden:TSC2,-6.819777253403613e-08,True
Mutation_burden:TP53BP1,8.367251281846693e-09,True
Mutation_burden:GLI2,-1.4830864615066797e-07,True
Mutation_burden:FLT4,-2.548611410830407e-07,True
Mutation_burden:RB1,1.1607499845043546e-07,True
Mutation_burden:FOXA1,-3.0600589495334104e-07,True
Mutation_burden:PTK2B,5.822772454648261e-08,True
Mutation_burden:RIF1,1.9181011395801436e-07,True
Mutation_burden:CHEK2,1.2155857785734123e-08,True
Mutation_burden:TCF7L2,-4.2964092076885157e-07,True
Mutation_burden:PBRM1,8.381286875033027e-08,True
Mutation_burden:FANCI,1.6739748566452237e-07,True
Mutation_burden:CDH1,-1.798415874729373e-07,True
Mutation_burden:RAD50,-1.37750618727778e-07,True
Mutation_burden:SMO,1.027092850662339e-07,True
Mutation_burden:PTCH1,-0.22074093004629236,True
Mutation_burden:HNF1A,-1.8812559389245126e-07,True
Mutation_burden:DIS3L2,1.8214822044368216e-07,True
Mutation_burden:CBFB,-0.1603227215189012,True
Mutation_burden:MAP2K4,-1.8545672914932515e-07,True
Mutation_burden:TCF3,0.14673856515485711,True
