covariate,coef,penalized
GENDER_MALE,0.08781867181550645,False
AGE,0.014013540164237812,False
PANEL_VERSION_p2,-0.31456047228282746,False
PANEL_VERSION_p3,-0.49646721578976855,False
PANEL_VERSION_p3.1,-0.48833211948612393,False
PC1,-0.17660017482479481,False
PC2,-0.1438887572297945,False
PC3,0.08712982110580915,False
PC4,0.3068741590438297,False
PC5,0.03706278192524877,False
Mutation_burden,-3.9124716993883183e-10,True
Mutation_burden:KRAS,0.18145687058575327,True
Mutation_burden:TET2,-6.9188168243986245e-09,True
Mutation_burden:EGFR,-7.11612735249619e-08,True
Mutation_burden:RAD21,-0.060139842195246616,True
Mutation_burden:DNMT3A,-4.616693388857567e-08,True
Mutation_burden:NOTCH1,-9.795173132964779e-09,True
Mutation_burden:ASXL1,-7.339878345091819e-08,True
Mutation_burden:PDGFRA,-1.6412502057201752e-08,True
Mutation_burden:EZH2,-1.641214357272382e-08,True
Mutation_burden:IKZF1,-4.0306014062825733e-10,True
Mutation_burden:TERT,-0.004554785922648724,True
Mutation_burden:TP53,0.02669995926936694,True
Mutation_burden:ATM,-2.7696873399371186e-08,True
Mutation_burden:CUX1,-6.579742584327385e-08,True
Mutation_burden:RUNX1,-2.1305497384137608e-08,True
Mutation_burden:GNAS,-1.7438804652636838e-09,True
Mutation_burden:CREBBP,-4.663188192403494e-08,True
Mutation_burden:ETV6,1.778875083125108e-07,True
Mutation_burden:FLT3,-2.937702469879883e-08,True
Mutation_burden:ABL1,-5.74685080017766e-08,True
Mutation_burden:SF3B1,-1.0686573051184458e-07,True
Mutation_burden:FBXW7,-0.014745332173394085,True
Mutation_burden:SETD2,-4.817560612465176e-08,True
Mutation_burden:JAK3,-1.245853208144902e-07,True
Mutation_burden:WT1,-2.2999023338824445e-08,True
Mutation_burden:EP300,-1.5938250567340706e-08,True
Mutation_burden:SH2B3,2.081438221083795e-08,True
Mutation_burden:PPM1D,8.924568580947862e-08,True
Mutation_burden:CDK12,2.4444920596038522e-08,True
Mutation_burden:CBL,-6.86219791443964e-09,True
Mutation_burden:FGFR2,-5.863416181356483e-08,True
Mutation_burden:ERBB2,-2.341887875052982e-09,True
Mutation_burden:H19,3.493661024390772e-08,True
Mutation_burden:BRCA2,-1.3721654299685793e-08,True
Mutation_burden:GLI1,-3.387599052725504e-08,True
