covariate,coef,penalized
GENDER_MALE,0.2403325196242309,False
AGE,0.013787625672062657,False
PANEL_VERSION_p2,-0.1796384194369893,False
PANEL_VERSION_p3,-0.19717608982973958,False
PANEL_VERSION_p3.1,-0.2950300543643651,False
PC1,-0.18210510590393736,False
PC2,0.26442145580078125,False
PC3,0.0977592658542527,False
PC4,0.03961364524344422,False
PC5,-0.06835648634157052,False
Mutation_burden,-6.0942556072262435e-09,True
Mutation_burden:KRAS,-7.709627361313358e-09,True
Mutation_burden:TET2,2.7178503830544682e-08,True
Mutation_burden:EGFR,-3.851028180074176e-08,True
Mutation_burden:DNMT3A,-9.320224506305938e-08,True
Mutation_burden:NOTCH1,-0.07411875956074315,True
Mutation_burden:ASXL1,-4.1462245748458297e-08,True
Mutation_burden:PDGFRA,3.197183490692788e-05,True
Mutation_burden:U2AF1,-0.19983189157924228,True
Mutation_burden:IKZF1,-0.16257946808005766,True
Mutation_burden:TERT,-1.184258878712776e-07,True
Mutation_burden:TP53,0.26274119783442457,True
Mutation_burden:ATM,1.3337180182274428e-07,True
Mutation_burden:CUX1,-1.717014318773417e-07,True
Mutation_burden:GNAS,-0.03172790312672978,True
Mutation_burden:CREBBP,-0.24566865463075618,True
Mutation_burden:FLT3,-0.2799151684189805,True
Mutation_burden:ABL1,-2.2460837788619698e-07,True
Mutation_burden:SF3B1,1.9408084415010736e-09,True
Mutation_burden:FBXW7,-4.077645249013191e-07,True
Mutation_burden:SETD2,-0.05283084777692641,True
Mutation_burden:JAK3,-2.073311123025055e-07,True
Mutation_burden:WT1,-1.5876617987224742e-09,True
Mutation_burden:EP300,-0.04261315459499918,True
Mutation_burden:CDK12,1.2836158695536514e-08,True
Mutation_burden:CBL,-0.08157762730862764,True
Mutation_burden:ERBB2,0.06262491669217818,True
Mutation_burden:H19,5.324058616733494e-08,True
Mutation_burden:BRCA2,-1.493848834911091e-08,True
Mutation_burden:GLI1,-2.3539729209309395e-07,True
Mutation_burden:BRAF,-2.8293744886133475e-07,True
Mutation_burden:MET,-0.07226340834468817,True
Mutation_burden:IGF1R,0.19997154410193982,True
Mutation_burden:KIT,-0.14261584986749556,True
Mutation_burden:PIK3CA,1.494394814061972e-07,True
Mutation_burden:PIK3C2B,-0.043151050458881304,True
Mutation_burden:CSF3R,-6.587201128221232e-08,True
Mutation_burden:KDR,-2.1103579531800957e-08,True
Mutation_burden:SDHA,-3.500312919499047e-07,True
Mutation_burden:KAT6A,-4.2556893341667155e-08,True
Mutation_burden:ZNF217,4.6497071936491275e-08,True
Mutation_burden:FGFR1,-0.26232152253561064,True
Mutation_burden:NOTCH2,1.1037589752487235e-07,True
Mutation_burden:NF1,5.0773376245033835e-08,True
Mutation_burden:CTNNB1,-0.04368982732610896,True
Mutation_burden:JAK2,-0.002961838251042242,True
Mutation_burden:TRIM37,-1.2826384932150088e-07,True
Mutation_burden:CDH4,-1.4622410964477122e-07,True
Mutation_burden:PTEN,0.05546933197500184,True
Mutation_burden:IL7R,-3.319095759831807e-07,True
Mutation_burden:GATA3,1.4267146483516286e-08,True
Mutation_burden:SOS1,0.08291801873959226,True
Mutation_burden:ERBB3,2.095286535813756e-07,True
Mutation_burden:ALK,1.227553451995319e-07,True
Mutation_burden:MECOM,-9.33271456265837e-09,True
Mutation_burden:LIG4,-4.036569078460102e-07,True
Mutation_burden:RAD54B,-2.6339137679905287e-07,True
Mutation_burden:ARID2,-1.8959616791944342e-08,True
Mutation_burden:KMT2A,-0.04556883283924359,True
Mutation_burden:EXT1,-1.6628640198663222e-07,True
Mutation_burden:PRKDC,0.04627170522009494,True
Mutation_burden:POLQ,-2.549816658642846e-07,True
Mutation_burden:NOTCH3,2.454265198231667e-08,True
Mutation_burden:POLE,0.02007039552782917,True
Mutation_burden:RET,-0.09501346090812167,True
Mutation_burden:SETBP1,1.081080015636797e-08,True
Mutation_burden:ERCC4,0.001580016121496404,True
Mutation_burden:CIC,-0.019145229483583916,True
Mutation_burden:NTRK2,0.1414597427958954,True
Mutation_burden:CBLB,2.785272006258263e-08,True
Mutation_burden:ERCC6,5.7042419906471837e-08,True
Mutation_burden:KDM5A,-1.900403513420764e-08,True
Mutation_burden:PMS2,7.2820415721992e-08,True
Mutation_burden:FLT1,0.30144538409764626,True
Mutation_burden:DOCK8,0.08424851142333073,True
Mutation_burden:SMARCA4,0.16679340294975215,True
Mutation_burden:RUNX1T1,-4.3423840862120687e-07,True
Mutation_burden:SLX4,-0.012859338722543622,True
Mutation_burden:BRIP1,-0.2962996651112557,True
Mutation_burden:PRSS1,-0.11953330315580328,True
Mutation_burden:NRG1,-2.868186272745229e-07,True
Mutation_burden:RECQL4,1.673691731281227e-08,True
Mutation_burden:FAT1,0.07757121288892377,True
Mutation_burden:PTPN14,1.3322075555924483e-07,True
Mutation_burden:CARD11,0.15130916080198906,True
Mutation_burden:ETV1,-0.044373692174285516,True
Mutation_burden:KAT6B,-4.448053939272403e-08,True
Mutation_burden:CDKN2A,5.856377592071982e-08,True
Mutation_burden:KMT2D,-3.3721750824630126e-08,True
Mutation_burden:KIF1B,-1.0302570693889906e-07,True
Mutation_burden:POLD1,0.10893803347506581,True
Mutation_burden:NTRK1,-0.10863484849965642,True
Mutation_burden:RICTOR,-0.024176318979950134,True
Mutation_burden:TSHR,-1.0244397698327213e-07,True
Mutation_burden:DIS3,-1.947013641657402e-07,True
Mutation_burden:MTOR,-1.0535336665360779e-08,True
Mutation_burden:CIITA,0.11960154187843097,True
Mutation_burden:PALB2,3.8487058560421474e-08,True
Mutation_burden:ARHGAP35,0.10230973870131739,True
Mutation_burden:ARHGEF12,5.053341008977289e-07,True
Mutation_burden:ATR,-0.06432471827013772,True
Mutation_burden:RNF43,5.1879235501384075e-09,True
Mutation_burden:MAP3K1,-0.19371452018615587,True
Mutation_burden:ARID1A,-0.09914212716679385,True
Mutation_burden:TET1,-2.3276628105777376e-08,True
Mutation_burden:RPTOR,-0.02034136617091575,True
Mutation_burden:PAXIP1,1.8337383769682936e-07,True
Mutation_burden:ERCC5,-0.051460951151725096,True
Mutation_burden:ARID1B,-5.5360465380427425e-08,True
