covariate,coef,penalized
GENDER_MALE,0.206183272059658,False
AGE,0.006387313793360812,False
PANEL_VERSION_p2,0.010435977907285201,False
PANEL_VERSION_p3,0.20724068286638528,False
PANEL_VERSION_p3.1,0.33318179702581413,False
PC1,-0.16350215591760614,False
PC2,0.10608662143977933,False
PC3,-0.0037500358370167273,False
PC4,-0.2812983158371926,False
PC5,-0.092239676913158,False
Mutation_burden,4.949911274737938e-09,True
Mutation_burden:KRAS,0.08669468008353858,True
Mutation_burden:TET2,5.632484531361987e-08,True
Mutation_burden:DNMT3A,-0.18203617431555869,True
Mutation_burden:NOTCH1,-0.31125153345838247,True
Mutation_burden:U2AF1,1.0965622046788065e-07,True
Mutation_burden:TP53,0.248534918678758,True
Mutation_burden:ATM,-1.7985298714815244e-07,True
Mutation_burden:CUX1,-1.874332628421465e-07,True
Mutation_burden:GNAS,3.654848888637173e-08,True
Mutation_burden:CREBBP,1.7425370333326834e-07,True
Mutation_burden:FLT3,0.07008164945457994,True
Mutation_burden:SF3B1,6.629930657797637e-09,True
Mutation_burden:SETD2,-6.109083410103661e-08,True
Mutation_burden:JAK3,-1.775008664012453e-08,True
Mutation_burden:EP300,-3.535185444719217e-07,True
Mutation_burden:ERBB2,0.15217885290476327,True
Mutation_burden:H19,-0.2033544092797473,True
Mutation_burden:BRCA2,1.0297324420030203e-07,True
Mutation_burden:BRAF,0.2027447591038329,True
Mutation_burden:MET,-1.99951998431013e-07,True
Mutation_burden:PIK3CA,3.1413437864103334e-07,True
Mutation_burden:PIK3C2B,1.0578290454839069e-08,True
Mutation_burden:KDR,0.393890330871035,True
Mutation_burden:KAT6A,6.736164409501191e-08,True
Mutation_burden:NOTCH2,2.210257771016036e-07,True
Mutation_burden:NF1,1.2552478899748765e-06,True
Mutation_burden:TRIM37,1.5191558525392637e-07,True
Mutation_burden:CDH4,3.058007692185597e-07,True
Mutation_burden:WHSC1L1,2.127621155465587e-08,True
Mutation_burden:ERBB3,2.0170630739118676e-07,True
Mutation_burden:ALK,-1.2470556858690947e-07,True
Mutation_burden:ARID2,-1.835387126843754e-08,True
Mutation_burden:KMT2A,-2.930946582431635e-07,True
Mutation_burden:PRKDC,-0.02583577526852817,True
Mutation_burden:POLQ,4.6165549021485024e-10,True
Mutation_burden:NOTCH3,-2.7861499862891466e-07,True
Mutation_burden:POLE,7.463120678297109e-08,True
Mutation_burden:RET,3.031996449761726e-07,True
Mutation_burden:SETBP1,-1.206612109942494e-07,True
Mutation_burden:CIC,2.3032030394397347e-08,True
Mutation_burden:ERCC6,-3.8979714443818113e-07,True
Mutation_burden:FLT1,-0.10682157436070994,True
Mutation_burden:DOCK8,5.137818120968222e-08,True
Mutation_burden:SMARCA4,9.133174017034843e-08,True
Mutation_burden:SLX4,-4.575870606702117e-08,True
Mutation_burden:NRG1,-1.6732049015713353e-07,True
Mutation_burden:RECQL4,2.268823239754347e-07,True
Mutation_burden:FAT1,-7.2619223681651146e-09,True
Mutation_burden:GEN1,-2.5550235802079307e-08,True
Mutation_burden:KAT6B,-6.45589313702248e-07,True
Mutation_burden:CDKN2A,0.053036293177136706,True
Mutation_burden:KMT2D,9.913383807264824e-08,True
Mutation_burden:KIF1B,4.6670948706719926e-08,True
Mutation_burden:CIITA,2.2321200888365336e-07,True
Mutation_burden:PALB2,-4.549092771726817e-08,True
Mutation_burden:ARHGEF12,-0.0905846662269577,True
Mutation_burden:ATR,-2.4264524649411296e-08,True
Mutation_burden:RNF43,1.0968298699043357e-07,True
Mutation_burden:ARID1A,2.0897634292672856e-07,True
Mutation_burden:TET1,-1.797894125751542e-08,True
Mutation_burden:RPTOR,-2.675054520265283e-07,True
Mutation_burden:ARID1B,-5.065695181427015e-08,True
Mutation_burden:PML,2.357866441730568e-07,True
Mutation_burden:ERCC2,-5.704402717265076e-07,True
Mutation_burden:ERBB4,1.4955403749668513e-07,True
Mutation_burden:NSD1,-2.9825536138383047e-07,True
Mutation_burden:SMAD4,0.15452082832599884,True
Mutation_burden:DICER1,0.6306124275060889,True
Mutation_burden:AXL,-3.352788561969125e-07,True
Mutation_burden:FANCD2,-6.254141676544707e-08,True
Mutation_burden:AXIN2,-3.68034488541298e-07,True
Mutation_burden:WHSC1,4.617191104331554e-07,True
Mutation_burden:BRCA1,5.47950378723315e-08,True
Mutation_burden:EXO1,-2.3816856663803483e-07,True
Mutation_burden:ROS1,2.7169548623375014e-07,True
Mutation_burden:PDGFRB,1.9197216151851718e-08,True
Mutation_burden:MSH6,-5.154832440621671e-08,True
Mutation_burden:COL7A1,-7.903032502860908e-08,True
Mutation_burden:TRAF7,-1.0845033003321102e-07,True
Mutation_burden:WRN,-5.48907590504975e-07,True
Mutation_burden:MGA,-6.407033905712501e-09,True
Mutation_burden:MEN1,-0.5513937958722114,True
Mutation_burden:ABCB11,5.515397285147761e-07,True
Mutation_burden:C17orf70,2.2684396861314955e-07,True
Mutation_burden:BLM,1.9586167566636023e-07,True
Mutation_burden:MSH2,-8.553150882546181e-08,True
Mutation_burden:FANCA,-9.319565762925308e-08,True
Mutation_burden:NTRK3,2.458167992545509e-07,True
Mutation_burden:STK11,9.78967636519913e-08,True
Mutation_burden:FGFR4,-1.924575506173708e-08,True
Mutation_burden:MUTYH,-2.5734780563695654e-07,True
Mutation_burden:FANCM,8.682706976191921e-08,True
Mutation_burden:APC,-1.9468075198392564e-07,True
Mutation_burden:BRD4,9.669430345385983e-08,True
Mutation_burden:TSC2,1.1253702904221998e-07,True
Mutation_burden:TP53BP1,5.417442019724797e-08,True
Mutation_burden:GLI2,-8.477388115787361e-08,True
Mutation_burden:FLT4,-1.982862319523521e-08,True
Mutation_burden:RB1,7.565749114984895e-08,True
Mutation_burden:PTK2B,-2.3068470168142234e-07,True
Mutation_burden:RIF1,-1.2564012497528298e-07,True
Mutation_burden:CHEK2,7.877196756288563e-08,True
Mutation_burden:PBRM1,1.7154142947988046e-07,True
Mutation_burden:FANCI,7.570124899393996e-07,True
Mutation_burden:BUB1B,-3.355553728291162e-08,True
Mutation_burden:PTCH1,0.30622284616007134,True
Mutation_burden:TCF3,0.11586738644545548,True
