covariate,coef,penalized
AGE,0.010963332769620743,False
PANEL_VERSION_p2,0.34431117229205344,False
PANEL_VERSION_p3,1.01316100132668,False
PANEL_VERSION_p3.1,1.3160935123462247,False
PC1,-0.27119713947328744,False
PC2,1.154139729235233,False
PC3,0.32997418709196763,False
PC4,0.7047289805911949,False
PC5,0.11118990074461864,False
Mutation_burden,-1.8048343843342779e-09,True
Mutation_burden:TET2,-2.6207052575766236e-08,True
Mutation_burden:EGFR,1.6172689159473418e-07,True
Mutation_burden:NOTCH1,4.71198874953411e-08,True
Mutation_burden:ASXL1,-1.390387247944086e-07,True
Mutation_burden:TP53,0.2828201605518964,True
Mutation_burden:ATM,4.30618022436941e-08,True
Mutation_burden:CUX1,-5.024624741506158e-09,True
Mutation_burden:GNAS,-5.5663480969259955e-08,True
Mutation_burden:CREBBP,3.2415974586566586e-08,True
Mutation_burden:ABL1,-1.712304150861644e-07,True
Mutation_burden:SF3B1,1.4951390415678966e-07,True
Mutation_burden:SETD2,4.018573963306059e-08,True
Mutation_burden:EP300,-1.3480150771347338e-08,True
Mutation_burden:CDK12,6.142092646621662e-08,True
Mutation_burden:CBL,-6.832292886541755e-08,True
Mutation_burden:FGFR2,-1.339739673251462e-07,True
Mutation_burden:H19,1.9385604263182007e-07,True
Mutation_burden:BRCA2,-2.8656137691679755e-08,True
Mutation_burden:GLI1,-1.1032325888860316e-07,True
Mutation_burden:MET,4.401326540767472e-08,True
Mutation_burden:IGF1R,-1.9545448341368023e-07,True
Mutation_burden:PIK3CA,-2.0841351153197255e-08,True
Mutation_burden:PIK3C2B,-1.800455997009031e-07,True
Mutation_burden:CSF3R,-9.45559860893498e-09,True
Mutation_burden:KDR,-1.7970870895091774e-08,True
Mutation_burden:SDHA,-3.842981538669612e-07,True
Mutation_burden:JAK1,-2.05991154284738e-07,True
Mutation_burden:KAT6A,5.003022796832129e-08,True
Mutation_burden:FGFR1,1.0013969044829201e-07,True
Mutation_burden:NOTCH2,1.290631413281886e-07,True
Mutation_burden:NF1,1.9215446739740336e-08,True
Mutation_burden:CTNNB1,3.413573836264886e-09,True
Mutation_burden:AKT2,-2.3699415044363482e-08,True
Mutation_burden:CTCF,-1.1338535801531035e-07,True
Mutation_burden:PTEN,-0.06288072570539929,True
Mutation_burden:SOS1,-1.8751668890157808e-08,True
Mutation_burden:ERBB3,4.0437125571425946e-08,True
Mutation_burden:POLH,-2.2580741642988867e-08,True
Mutation_burden:SPOP,-9.657739214337057e-08,True
Mutation_burden:ARID2,-1.9196229415089653e-07,True
Mutation_burden:KMT2A,-1.4333443350392075e-07,True
Mutation_burden:PRKDC,-3.083242774000621e-08,True
Mutation_burden:POLQ,-1.3051086611788683e-07,True
Mutation_burden:NOTCH3,-6.801874463593875e-08,True
Mutation_burden:POLE,-0.10402604852961818,True
Mutation_burden:RET,2.5812666989443136e-07,True
Mutation_burden:PRDM1,-3.6105602644523666e-08,True
Mutation_burden:SETBP1,-5.976506509447601e-08,True
Mutation_burden:CIC,-7.413335338350465e-08,True
Mutation_burden:NTRK2,3.830250522284353e-07,True
Mutation_burden:CBLB,2.3356830108231352e-07,True
Mutation_burden:ERCC6,5.016364399226382e-08,True
Mutation_burden:KDM5A,-4.671406876108467e-08,True
Mutation_burden:PMS2,1.3832769680394534e-07,True
Mutation_burden:FLT1,1.1189150039126415e-07,True
Mutation_burden:DOCK8,-0.31146376819572197,True
Mutation_burden:SMARCA4,-8.893892026457736e-08,True
Mutation_burden:SLX4,7.416869424820404e-08,True
Mutation_burden:NRG1,-1.8461277759405547e-08,True
Mutation_burden:RECQL4,-3.88905794270614e-08,True
Mutation_burden:FAT1,6.596536893475762e-09,True
Mutation_burden:RSPO2,-9.962982698638287e-08,True
Mutation_burden:GATA6,4.9074607373472687e-08,True
Mutation_burden:KAT6B,2.141102613504017e-09,True
Mutation_burden:KMT2D,-6.937243548801999e-08,True
Mutation_burden:KIF1B,1.1568008952876957e-07,True
Mutation_burden:POLD1,1.3760511457760742e-07,True
Mutation_burden:RICTOR,-1.0426996832557388e-07,True
Mutation_burden:DIS3,-9.350645584087094e-08,True
Mutation_burden:MTOR,7.516923145135068e-09,True
Mutation_burden:CIITA,-7.656393152117719e-08,True
Mutation_burden:PALB2,2.761155938431819e-08,True
Mutation_burden:ARHGAP35,-3.112714729086219e-07,True
Mutation_burden:ATR,-9.321140243005556e-08,True
Mutation_burden:RNF43,-9.402524287604404e-08,True
Mutation_burden:MAP3K1,-5.298037389542857e-08,True
Mutation_burden:ARID1A,4.6702679113823856e-08,True
Mutation_burden:TET1,6.001569618183158e-08,True
Mutation_burden:RPTOR,-2.445610088400698e-07,True
Mutation_burden:MLH3,7.32585494673279e-08,True
Mutation_burden:ARID1B,-4.848066566823636e-08,True
Mutation_burden:PML,-1.585018542552737e-07,True
Mutation_burden:ERCC2,-2.1075597517627354e-07,True
Mutation_burden:TSC1,-4.703668014852453e-08,True
Mutation_burden:ERBB4,-1.8218216695218614e-08,True
Mutation_burden:NSD1,3.4470014293406656e-08,True
Mutation_burden:DICER1,7.604006622167454e-08,True
Mutation_burden:AXL,5.170315807458882e-08,True
Mutation_burden:FANCD2,-2.276513716199219e-07,True
Mutation_burden:XPC,1.0317770474160414e-07,True
Mutation_burden:AXIN2,-9.555451363551399e-08,True
Mutation_burden:WHSC1,-6.394258874470372e-09,True
Mutation_burden:FGFR3,-1.053437526509164e-07,True
Mutation_burden:BRCA1,-3.919108257946312e-07,True
