covariate,coef,penalized
GENDER_MALE,-0.03820224988756733,False
AGE,0.0,False
PANEL_VERSION_p2,0.04359814432845287,False
PANEL_VERSION_p3,-1.1553725508412729,False
PANEL_VERSION_p3.1,-1.5992203357437877,False
PC1,0.0,False
PC2,0.0,False
PC3,-0.02341656272893313,False
PC4,0.0,False
PC5,0.05058315939784531,False
Mutation_burden,0.0,True
Mutation_burden:TET2,-0.006395754350087495,True
Mutation_burden:EGFR,0.0,True
Mutation_burden:DNMT3A,0.0,True
Mutation_burden:NOTCH1,0.0,True
Mutation_burden:ASXL1,-0.05248358473472452,True
Mutation_burden:IKZF1,0.0,True
Mutation_burden:TERT,0.0,True
Mutation_burden:TP53,-0.27747454534924804,True
Mutation_burden:ATM,0.0,True
Mutation_burden:CUX1,0.0,True
Mutation_burden:RUNX1,0.0,True
Mutation_burden:GNAS,0.0,True
Mutation_burden:CREBBP,0.0,True
Mutation_burden:FLT3,0.0,True
Mutation_burden:SF3B1,0.0,True
Mutation_burden:SETD2,0.0,True
Mutation_burden:JAK3,-0.0682976829975518,True
Mutation_burden:EP300,0.0,True
Mutation_burden:SH2B3,-0.03344672690085817,True
Mutation_burden:CDK12,0.0,True
Mutation_burden:FGFR2,0.11166518973703042,True
Mutation_burden:ERBB2,0.046062975523746365,True
Mutation_burden:BRCA2,-0.14082345649346176,True
Mutation_burden:GLI1,-0.07482494808447941,True
Mutation_burden:MET,0.0,True
Mutation_burden:IGF1R,0.0,True
Mutation_burden:KIT,0.0,True
Mutation_burden:PIK3CA,0.0,True
Mutation_burden:PIK3C2B,-0.021555077179898026,True
Mutation_burden:CSF3R,0.0,True
Mutation_burden:KDR,0.0,True
Mutation_burden:SDHA,0.07650689573517182,True
Mutation_burden:KAT6A,0.0,True
Mutation_burden:ZNF217,0.0,True
Mutation_burden:NOTCH2,0.0,True
Mutation_burden:NF1,0.0,True
Mutation_burden:JAK2,0.0,True
Mutation_burden:CDH4,0.0,True
Mutation_burden:PTEN,-0.011621018375482666,True
Mutation_burden:GATA3,0.0,True
Mutation_burden:WHSC1L1,0.0,True
Mutation_burden:ERBB3,0.0,True
Mutation_burden:ALK,0.05086184427789309,True
Mutation_burden:MECOM,0.06088605130754761,True
Mutation_burden:ARID2,0.0,True
Mutation_burden:KMT2A,0.0,True
Mutation_burden:PRKDC,0.09336042808811307,True
Mutation_burden:POLQ,0.0,True
Mutation_burden:NOTCH3,0.0,True
Mutation_burden:POLE,0.0,True
Mutation_burden:SETBP1,0.0,True
Mutation_burden:CIC,0.0,True
Mutation_burden:ERCC6,0.0,True
Mutation_burden:KDM5A,0.0,True
Mutation_burden:PMS2,0.0,True
Mutation_burden:FLT1,0.0,True
Mutation_burden:DOCK8,0.0,True
Mutation_burden:SMARCA4,0.0,True
Mutation_burden:SLX4,0.0,True
Mutation_burden:BRIP1,0.0,True
Mutation_burden:RECQL4,0.0,True
Mutation_burden:FAT1,0.0,True
Mutation_burden:PTPN14,0.0,True
Mutation_burden:CARD11,0.0,True
Mutation_burden:KAT6B,0.0,True
Mutation_burden:CDKN2A,0.0,True
