covariate,coef,penalized
GENDER_MALE,0.0,False
AGE,0.0,False
PANEL_VERSION_p2,0.3193813685329384,False
PANEL_VERSION_p3,0.0,False
PANEL_VERSION_p3.1,-0.8703145632888915,False
PC1,0.0,False
PC2,0.0,False
PC3,0.0,False
PC4,0.0,False
PC5,0.0,False
Mutation_burden,0.0,True
Mutation_burden:KRAS,0.0,True
Mutation_burden:TET2,0.0,True
Mutation_burden:EGFR,0.0,True
Mutation_burden:RAD21,0.0,True
Mutation_burden:DNMT3A,0.0,True
Mutation_burden:NOTCH1,0.0,True
Mutation_burden:ASXL1,0.0,True
Mutation_burden:PDGFRA,0.0,True
Mutation_burden:EZH2,0.0,True
Mutation_burden:IKZF1,0.0,True
Mutation_burden:TERT,0.0,True
Mutation_burden:TP53,0.0,True
Mutation_burden:ATM,0.0,True
Mutation_burden:CUX1,0.0,True
Mutation_burden:RUNX1,0.0,True
Mutation_burden:GNAS,0.0,True
Mutation_burden:CREBBP,0.0,True
Mutation_burden:ETV6,0.0,True
Mutation_burden:FLT3,0.0,True
Mutation_burden:ABL1,0.0,True
Mutation_burden:SF3B1,0.0,True
Mutation_burden:FBXW7,0.0,True
Mutation_burden:SETD2,0.0,True
Mutation_burden:JAK3,0.0,True
Mutation_burden:WT1,0.0,True
Mutation_burden:EP300,0.0,True
Mutation_burden:SH2B3,0.0,True
Mutation_burden:PPM1D,0.0,True
Mutation_burden:CDK12,0.0,True
Mutation_burden:CBL,0.0,True
Mutation_burden:FGFR2,0.0,True
Mutation_burden:ERBB2,0.0,True
Mutation_burden:H19,0.0,True
Mutation_burden:BRCA2,0.0,True
Mutation_burden:GLI1,0.0,True
Mutation_burden:BRAF,0.0,True
Mutation_burden:MET,0.0,True
Mutation_burden:IGF1R,0.0,True
Mutation_burden:NRAS,0.0,True
Mutation_burden:KIT,0.0,True
Mutation_burden:PIK3CA,0.0,True
Mutation_burden:PIK3C2B,0.0,True
Mutation_burden:PTPN11,0.0,True
Mutation_burden:CSF3R,0.0,True
Mutation_burden:MDM2,0.0,True
Mutation_burden:KDR,0.0,True
Mutation_burden:SDHA,0.0,True
Mutation_burden:JAK1,0.0,True
Mutation_burden:KAT6A,0.0,True
Mutation_burden:ZNF217,0.0,True
Mutation_burden:FGFR1,0.0,True
Mutation_burden:NOTCH2,0.0,True
Mutation_burden:NF1,0.0,True
Mutation_burden:FOXL2,0.0,True
Mutation_burden:CTNNB1,0.0,True
Mutation_burden:MPL,0.0,True
Mutation_burden:AKT2,0.0,True
Mutation_burden:JAK2,0.0,True
Mutation_burden:TRIM37,0.0,True
Mutation_burden:CDH4,0.0,True
Mutation_burden:PTEN,0.0,True
Mutation_burden:IL7R,0.0,True
Mutation_burden:GATA3,0.0,True
Mutation_burden:SOS1,0.0,True
Mutation_burden:PAX5,0.0,True
Mutation_burden:WHSC1L1,0.0,True
Mutation_burden:ERBB3,0.0,True
Mutation_burden:MYBL1,0.0,True
Mutation_burden:SMC3,0.0,True
Mutation_burden:ALK,0.0,True
Mutation_burden:XPO1,0.0,True
Mutation_burden:MECOM,0.0,True
