covariate,coef,penalized
GENDER_MALE,0.0,False
AGE,0.0,False
PANEL_VERSION_p2,0.18232099678677452,False
PANEL_VERSION_p3,0.0,False
PANEL_VERSION_p3.1,-0.582075418214086,False
PC1,0.0,False
PC2,0.0,False
PC3,0.0,False
PC4,0.0,False
PC5,0.09095175274421956,False
Mutation_burden,-0.02712546514094714,True
Mutation_burden:KRAS,-0.0669062496239317,True
Mutation_burden:TET2,0.0,True
Mutation_burden:DNMT3A,0.10411052721923478,True
Mutation_burden:NOTCH1,0.13004894725518903,True
Mutation_burden:U2AF1,0.0,True
Mutation_burden:TP53,-0.13070264298906614,True
Mutation_burden:ATM,0.0,True
Mutation_burden:CUX1,0.0,True
Mutation_burden:GNAS,0.0,True
Mutation_burden:CREBBP,0.020964245477575177,True
Mutation_burden:FLT3,0.0,True
Mutation_burden:SF3B1,0.0,True
Mutation_burden:SETD2,0.0,True
Mutation_burden:JAK3,-0.07934296671741335,True
Mutation_burden:EP300,0.05401645946122017,True
Mutation_burden:ERBB2,-0.028139273036449555,True
Mutation_burden:H19,0.0,True
Mutation_burden:BRCA2,0.0,True
Mutation_burden:BRAF,0.0,True
Mutation_burden:MET,0.0,True
Mutation_burden:PIK3CA,0.0,True
Mutation_burden:PIK3C2B,0.0,True
Mutation_burden:KDR,0.0,True
Mutation_burden:KAT6A,0.0,True
Mutation_burden:NOTCH2,0.0,True
Mutation_burden:NF1,0.0,True
Mutation_burden:TRIM37,0.0,True
Mutation_burden:CDH4,0.0,True
Mutation_burden:WHSC1L1,0.0,True
Mutation_burden:ERBB3,-0.012114243576042951,True
Mutation_burden:ALK,0.0,True
Mutation_burden:ARID2,0.0,True
Mutation_burden:KMT2A,0.0,True
Mutation_burden:PRKDC,0.07108407095477251,True
Mutation_burden:POLQ,0.0,True
Mutation_burden:NOTCH3,0.0,True
Mutation_burden:POLE,0.0,True
Mutation_burden:RET,0.0,True
Mutation_burden:SETBP1,0.0,True
Mutation_burden:CIC,0.0,True
Mutation_burden:ERCC6,0.12897713140087383,True
Mutation_burden:FLT1,0.04517729199240096,True
Mutation_burden:DOCK8,0.0,True
Mutation_burden:SMARCA4,0.0,True
Mutation_burden:SLX4,0.0,True
Mutation_burden:NRG1,0.0,True
Mutation_burden:RECQL4,0.0,True
Mutation_burden:FAT1,0.0,True
Mutation_burden:GEN1,0.0,True
Mutation_burden:KAT6B,0.0,True
Mutation_burden:CDKN2A,0.0,True
Mutation_burden:KMT2D,0.0,True
Mutation_burden:KIF1B,0.0,True
Mutation_burden:CIITA,0.0,True
Mutation_burden:PALB2,0.0,True
Mutation_burden:ARHGEF12,0.0,True
Mutation_burden:ATR,0.0,True
Mutation_burden:RNF43,0.0,True
Mutation_burden:ARID1A,-0.020193589444508848,True
Mutation_burden:TET1,0.0,True
Mutation_burden:RPTOR,0.0,True
Mutation_burden:ARID1B,0.0,True
Mutation_burden:PML,0.0,True
Mutation_burden:ERCC2,0.0,True
Mutation_burden:ERBB4,0.0,True
Mutation_burden:NSD1,0.0,True
Mutation_burden:SMAD4,-0.3645903980755487,True
Mutation_burden:DICER1,0.0,True
Mutation_burden:AXL,0.0,True
Mutation_burden:FANCD2,0.0,True
Mutation_burden:AXIN2,0.24637791642087475,True
Mutation_burden:WHSC1,0.0,True
Mutation_burden:BRCA1,0.0,True
Mutation_burden:EXO1,0.0,True
Mutation_burden:ROS1,0.0,True
Mutation_burden:PDGFRB,-0.0749083709443379,True
Mutation_burden:MSH6,0.03847471576759291,True
Mutation_burden:COL7A1,0.0,True
Mutation_burden:TRAF7,0.0,True
Mutation_burden:WRN,0.0,True
Mutation_burden:MGA,0.0,True
Mutation_burden:MEN1,0.168206616849581,True
Mutation_burden:ABCB11,0.0,True
Mutation_burden:C17orf70,0.0,True
Mutation_burden:BLM,0.0,True
Mutation_burden:MSH2,0.0,True
Mutation_burden:FANCA,0.0,True
Mutation_burden:NTRK3,0.0,True
Mutation_burden:STK11,0.0,True
Mutation_burden:FGFR4,0.0,True
Mutation_burden:MUTYH,0.0,True
Mutation_burden:FANCM,0.0,True
Mutation_burden:APC,0.0,True
Mutation_burden:BRD4,0.0,True
Mutation_burden:TSC2,0.0,True
Mutation_burden:TP53BP1,0.0,True
Mutation_burden:GLI2,0.0,True
Mutation_burden:FLT4,0.0,True
Mutation_burden:RB1,0.0,True
Mutation_burden:PTK2B,0.059401729765526746,True
Mutation_burden:RIF1,0.0,True
Mutation_burden:CHEK2,0.0,True
Mutation_burden:PBRM1,-0.006853951248251303,True
Mutation_burden:FANCI,0.0,True
Mutation_burden:BUB1B,0.03592877698104453,True
Mutation_burden:PTCH1,0.0,True
Mutation_burden:TCF3,0.0,True
