covariate,coef,penalized
AGE,-0.10203401612982342,False
PANEL_VERSION_p2,0.0,False
PANEL_VERSION_p3,-0.8591371802955188,False
PANEL_VERSION_p3.1,-0.8518050712087065,False
PC1,0.0,False
PC2,0.0,False
PC3,-0.1624251283710647,False
PC4,0.0,False
PC5,0.08754886999904146,False
Mutation_burden,-0.5742482500442584,True
Mutation_burden:TET2,0.0,True
Mutation_burden:EGFR,0.0,True
Mutation_burden:NOTCH1,0.0,True
Mutation_burden:ASXL1,0.277426066824886,True
Mutation_burden:TP53,-0.0016886775523469216,True
Mutation_burden:ATM,0.0,True
Mutation_burden:CUX1,0.0,True
Mutation_burden:GNAS,0.0,True
Mutation_burden:CREBBP,0.0,True
Mutation_burden:ABL1,0.24522956836052276,True
Mutation_burden:SF3B1,0.0,True
Mutation_burden:SETD2,-0.01954579561231663,True
Mutation_burden:EP300,0.17934967782259395,True
Mutation_burden:CDK12,0.0,True
Mutation_burden:CBL,0.0,True
Mutation_burden:FGFR2,0.0,True
Mutation_burden:H19,0.0,True
Mutation_burden:BRCA2,0.0,True
Mutation_burden:GLI1,0.0,True
Mutation_burden:MET,0.0,True
Mutation_burden:IGF1R,0.0,True
Mutation_burden:PIK3CA,0.0,True
Mutation_burden:PIK3C2B,0.0,True
Mutation_burden:CSF3R,0.0,True
Mutation_burden:KDR,0.0,True
Mutation_burden:SDHA,0.11898820037749844,True
Mutation_burden:JAK1,0.0,True
Mutation_burden:KAT6A,0.0,True
Mutation_burden:FGFR1,0.0,True
Mutation_burden:NOTCH2,0.0,True
Mutation_burden:NF1,-0.11447771292823387,True
Mutation_burden:CTNNB1,0.0,True
Mutation_burden:AKT2,0.0,True
Mutation_burden:CTCF,0.0,True
Mutation_burden:PTEN,0.0,True
Mutation_burden:SOS1,0.0,True
Mutation_burden:ERBB3,0.0,True
Mutation_burden:POLH,0.0,True
Mutation_burden:SPOP,0.0,True
Mutation_burden:ARID2,0.0,True
Mutation_burden:KMT2A,0.0,True
Mutation_burden:PRKDC,0.0,True
Mutation_burden:POLQ,0.0,True
Mutation_burden:NOTCH3,0.0,True
Mutation_burden:POLE,0.0,True
Mutation_burden:RET,0.0,True
Mutation_burden:PRDM1,0.0,True
Mutation_burden:SETBP1,-0.008026115072544658,True
Mutation_burden:CIC,0.0,True
Mutation_burden:NTRK2,0.0,True
Mutation_burden:CBLB,0.0,True
Mutation_burden:ERCC6,0.0,True
Mutation_burden:KDM5A,0.0,True
Mutation_burden:PMS2,0.0,True
Mutation_burden:FLT1,0.0,True
Mutation_burden:DOCK8,0.0,True
Mutation_burden:SMARCA4,0.0,True
Mutation_burden:SLX4,0.0,True
Mutation_burden:NRG1,0.0,True
Mutation_burden:RECQL4,0.0,True
Mutation_burden:FAT1,0.0,True
Mutation_burden:RSPO2,0.0,True
Mutation_burden:GATA6,0.0,True
Mutation_burden:KAT6B,0.0,True
Mutation_burden:KMT2D,0.0,True
Mutation_burden:KIF1B,0.0,True
Mutation_burden:POLD1,0.0,True
Mutation_burden:RICTOR,0.0,True
Mutation_burden:DIS3,0.05959289981638928,True
Mutation_burden:MTOR,0.0,True
Mutation_burden:CIITA,0.0,True
Mutation_burden:PALB2,-0.27189176861829945,True
Mutation_burden:ARHGAP35,0.0,True
Mutation_burden:ATR,0.0,True
Mutation_burden:RNF43,0.0,True
Mutation_burden:MAP3K1,0.0,True
Mutation_burden:ARID1A,0.0,True
Mutation_burden:TET1,0.0,True
Mutation_burden:RPTOR,0.0,True
Mutation_burden:MLH3,0.0,True
Mutation_burden:ARID1B,0.14094428715600138,True
Mutation_burden:PML,0.0,True
Mutation_burden:ERCC2,0.057450289479161976,True
Mutation_burden:TSC1,0.0,True
Mutation_burden:ERBB4,0.0,True
Mutation_burden:NSD1,0.0,True
Mutation_burden:DICER1,0.0,True
Mutation_burden:AXL,-0.012699233793163529,True
Mutation_burden:FANCD2,0.0,True
Mutation_burden:XPC,-0.009983085010234014,True
Mutation_burden:AXIN2,0.041541781238848066,True
Mutation_burden:WHSC1,0.217513899000269,True
Mutation_burden:FGFR3,0.0,True
Mutation_burden:BRCA1,0.0,True
Mutation_burden:BAP1,0.0,True
Mutation_burden:MTA1,0.0,True
Mutation_burden:ROS1,0.0,True
Mutation_burden:ENG,0.0,True
Mutation_burden:HELQ,0.0,True
Mutation_burden:PDGFRB,0.0,True
Mutation_burden:MSH6,0.0,True
Mutation_burden:COL7A1,0.0,True
Mutation_burden:WRN,0.0,True
Mutation_burden:MGA,0.0,True
Mutation_burden:PMS1,0.0,True
Mutation_burden:BARD1,0.0,True
Mutation_burden:ETV5,0.0,True
Mutation_burden:RINT1,0.0,True
Mutation_burden:AKT1,0.22271795170054254,True
Mutation_burden:ABCB11,0.0,True
Mutation_burden:TOPBP1,0.0,True
Mutation_burden:C17orf70,0.0,True
Mutation_burden:MSH2,0.0,True
Mutation_burden:FANCA,0.0,True
Mutation_burden:EXT2,0.1815498842078654,True
Mutation_burden:USP28,0.0,True
Mutation_burden:FGFR4,0.0,True
Mutation_burden:MUTYH,0.0,True
Mutation_burden:FANCM,0.0,True
Mutation_burden:APC,0.0,True
Mutation_burden:RELA,0.0,True
Mutation_burden:RBBP8,0.0,True
Mutation_burden:BRD4,0.0,True
Mutation_burden:TSC2,0.0,True
Mutation_burden:TP53BP1,0.0,True
Mutation_burden:GLI2,0.0,True
Mutation_burden:FLT4,0.0,True
Mutation_burden:RB1,0.0,True
Mutation_burden:FOXA1,0.0,True
Mutation_burden:CASP8,0.0,True
Mutation_burden:RIF1,0.0,True
Mutation_burden:CHEK2,0.0,True
Mutation_burden:KCNQ1,0.0,True
Mutation_burden:PBRM1,0.0,True
Mutation_burden:MRE11A,0.0,True
Mutation_burden:FANCI,0.0,True
Mutation_burden:CDH1,0.0,True
Mutation_burden:RAD50,0.0,True
Mutation_burden:BUB1B,0.0,True
Mutation_burden:PTCH1,0.0,True
Mutation_burden:MLL2,0.5223971791781473,True
Mutation_burden:TMPRSS2,0.0,True
Mutation_burden:HNF1A,0.0,True
Mutation_burden:DIS3L2,0.0,True
Mutation_burden:SUFU,0.0,True
Mutation_burden:TCF3,0.0,True
Mutation_burden:CBFA2T3,0.0,True
