covariate,coef,penalized
GENDER_Male,0.5759831400006897,False
AGE,-0.008109528138833798,False
Mutation_burden.TP53,0.4161260118043702,True
Mutation_burden.PIK3CA,0.011817137884045877,True
Mutation_burden.GATA3,-0.06171482857449819,True
Mutation_burden.CDH1,0.06982444406198328,True
Mutation_burden.KMT2C,1.0738003286819447e-07,True
Mutation_burden.MAP3K1,-1.374732643288696e-07,True
Mutation_burden.ESR1,0.6792322957503668,True
Mutation_burden.PTEN,0.0448007867760475,True
Mutation_burden.ARID1A,-1.049260658412823e-08,True
Mutation_burden.TBX3,1.321544942557573e-07,True
Mutation_burden.AKT1,2.73471156919543e-07,True
Mutation_burden.CBFB,-4.0428041579840927e-07,True
Mutation_burden.FOXA1,4.59442953573691e-08,True
Mutation_burden.NF1,0.18093949370651022,True
Mutation_burden.KMT2D,4.964251804201027e-07,True
Mutation_burden.MAP2K4,7.897299484144675e-08,True
Mutation_burden.SPEN,-4.7857413477032444e-08,True
Mutation_burden.RB1,0.0892542927644248,True
Mutation_burden.ERBB2,2.370006102710485e-07,True
Mutation_burden.NCOR1,3.3381442536513653e-07,True
Mutation_burden.RUNX1,1.4404697372916057e-08,True
Mutation_burden.FAT1,1.5792030757932652e-07,True
Mutation_burden.ZFHX3,2.427001944700473e-07,True
Mutation_burden.ATM,0.019438220986295697,True
Mutation_burden.BRCA2,4.2881753572131e-07,True
Mutation_burden.PIK3R1,1.6261070454442652e-07,True
Mutation_burden.SF3B1,3.881976051370511e-08,True
Mutation_burden.KMT2A,3.547830637217927e-08,True
Mutation_burden.CREBBP,2.2211468408890955e-07,True
Mutation_burden.NOTCH1,2.093629627563526e-07,True
Mutation_burden.NOTCH2,0.011121282682371,True
Mutation_burden.ATRX,1.4640694691537478e-07,True
Mutation_burden.BRCA1,6.927639950891462e-08,True
Mutation_burden.ERBB3,8.891946883129552e-10,True
Mutation_burden.KDM6A,1.415664584392227e-07,True
Mutation_burden.MGA,3.7700864998114445e-07,True
Mutation_burden.ANKRD11,9.596190071616046e-08,True
Mutation_burden.ATR,4.256636756062257e-07,True
Mutation_burden.KMT2B,-1.1305693762037703e-07,True
Mutation_burden.EP300,3.9690641834970285e-07,True
Mutation_burden.MEN1,0.07518585455223149,True
Mutation_burden.NOTCH3,1.1977666540059627e-07,True
Mutation_burden.SETD2,3.413765242913886e-08,True
Mutation_burden.PTPRD,1.7698763533050931e-07,True
Mutation_burden.ARID1B,1.3090096729279216e-07,True
Mutation_burden.MED12,1.5681006260650606e-07,True
Mutation_burden.MTOR,-5.309279494324595e-08,True
Mutation_burden.PTPRS,-1.7305454637853347e-07,True
Mutation_burden.JAK1,1.7981571897442393e-08,True
Mutation_burden.ALK,-2.741862435655207e-07,True
Mutation_burden.ARID2,4.4021966855452687e-07,True
Mutation_burden.SMAD4,1.2414106443911273e-07,True
Mutation_burden.CDKN1B,-4.604812822384848e-08,True
Mutation_burden.NOTCH4,0.28429349284293903,True
Mutation_burden.POLE,4.6837831016032767e-08,True
Mutation_burden.TERT,1.52891423607741e-07,True
Mutation_burden.GRIN2A,-6.820230317286273e-08,True
Mutation_burden.INPPL1,4.572195647090834e-07,True
Mutation_burden.STAG2,4.905032164866624e-07,True
Mutation_burden.NSD1,2.345436950960875e-08,True
Mutation_burden.PTPRT,-4.0500507329346147e-07,True
Mutation_burden.TET1,9.543833617703101e-08,True
Mutation_burden.RICTOR,4.5382934281357623e-07,True
Mutation_burden.PREX2,-1.0513683052652725e-08,True
Mutation_burden.IGF1R,1.568407765045148e-07,True
Mutation_burden.PIK3CG,4.5365776968248225e-07,True
Mutation_burden.APC,3.36292546459803e-07,True
Mutation_burden.ROS1,8.423599982271678e-07,True
Mutation_burden.TSC2,2.9026852011338044e-07,True
Mutation_burden.FOXP1,2.692410157844358e-07,True
Mutation_burden.BRD4,2.1038670650729013e-07,True
Mutation_burden.DNMT3A,3.3462421380971786e-07,True
Mutation_burden.TET2,-1.5143281516980765e-07,True
Mutation_burden.CTCF,5.223574980603555e-07,True
Mutation_burden.KDM5C,1.688558203973066e-07,True
Mutation_burden.PBRM1,9.613856504195093e-08,True
Mutation_burden.EGFR,-4.894093930525753e-08,True
Mutation_burden.CDK12,-1.6529267576766978e-07,True
Mutation_burden.TSC1,-1.5551561914774904e-07,True
Mutation_burden.SMARCA4,0.11985025871316354,True
Mutation_burden.CARD11,0.04929202023473939,True
Mutation_burden.CIC,7.394874956074203e-08,True
Mutation_burden.FLT4,8.095800659957716e-07,True
Mutation_burden.GPS2,-5.960658222249998e-07,True
Mutation_burden.DOT1L,9.295561999013645e-10,True
Mutation_burden.BCOR,4.837449964656371e-07,True
Mutation_burden.PALB2,-4.780535745821327e-08,True
Mutation_burden.FLT1,3.4619628454266085e-07,True
Mutation_burden.PLK2,5.007745568351737e-07,True
Mutation_burden.ERBB4,4.1057332441309187e-07,True
Mutation_burden.EPHB1,3.750361622061223e-07,True
Mutation_burden.AR,-3.1497436596005544e-07,True
Mutation_burden.LATS1,-1.800278782207006e-08,True
Mutation_burden.FGFR4,4.4540528010057944e-07,True
Mutation_burden.BAP1,2.7014138947544083e-07,True
Mutation_burden.KDM5A,8.25687522592736e-07,True
Mutation_burden.EPHA5,4.976733263904052e-07,True
Mutation_burden.ASXL1,2.0351570454576106e-07,True
