covariate,coef,penalized
GENDER_Male,0.07220037953287778,False
AGE,-0.00534305510586869,False
Mutation_burden.APC,-0.10737807484059719,True
Mutation_burden.TP53,2.405189844895639e-08,True
Mutation_burden.KRAS,0.26852343524106714,True
Mutation_burden.PIK3CA,-3.577552750213636e-08,True
Mutation_burden.FBXW7,-0.057430939432919235,True
Mutation_burden.SMAD4,0.16613040773210408,True
Mutation_burden.TCF7L2,-0.12597558972021344,True
Mutation_burden.ARID1A,-0.10558266538409264,True
Mutation_burden.SOX9,-0.12175562901462529,True
Mutation_burden.KMT2D,-2.932949963169299e-08,True
Mutation_burden.BRAF,0.49862242968850856,True
Mutation_burden.PTPRS,-4.291990624867519e-08,True
Mutation_burden.RNF43,2.410456645192376e-08,True
Mutation_burden.PTPRT,-7.541471627607795e-08,True
Mutation_burden.ZFHX3,1.3669279700673383e-08,True
Mutation_burden.ATM,-1.5234043920374744e-08,True
Mutation_burden.KMT2C,-1.642501480680485e-08,True
Mutation_burden.KMT2B,-0.06659414036597121,True
Mutation_burden.NOTCH3,-2.3557778386896113e-08,True
Mutation_burden.AMER1,-4.079064662665224e-08,True
Mutation_burden.FAT1,-2.5853402033882925e-08,True
Mutation_burden.CTNNB1,-0.16444875422107863,True
Mutation_burden.CREBBP,4.498091380958332e-08,True
Mutation_burden.CARD11,-6.235025489411353e-08,True
Mutation_burden.SPEN,-8.189625680453852e-08,True
Mutation_burden.BRCA2,6.919091253279673e-09,True
Mutation_burden.ANKRD11,2.8197198145662616e-08,True
Mutation_burden.ARID1B,5.012359026876229e-09,True
Mutation_burden.EPHA5,4.1305702484575416e-08,True
Mutation_burden.NOTCH1,-3.1337093549069624e-08,True
Mutation_burden.PTEN,-2.172919046894659e-08,True
Mutation_burden.GRIN2A,-1.4180271030217851e-08,True
Mutation_burden.FLT4,-7.027302704036211e-09,True
Mutation_burden.MGA,-4.48663133632392e-08,True
Mutation_burden.ERBB4,0.035229668447820855,True
Mutation_burden.AXIN2,2.168119670637603e-08,True
Mutation_burden.POLE,-4.1781747336352785e-08,True
Mutation_burden.MSH3,-6.6919388327783155e-09,True
Mutation_burden.KMT2A,-1.573977867102814e-08,True
Mutation_burden.SMARCA4,-5.1329132039444556e-08,True
Mutation_burden.ASXL1,5.9005294808856715e-08,True
Mutation_burden.PREX2,2.8883189647066506e-08,True
Mutation_burden.NF1,5.0467146215668225e-08,True
Mutation_burden.TGFBR2,0.009159776013689872,True
Mutation_burden.MTOR,1.929921366903632e-08,True
Mutation_burden.PTCH1,-7.185226614473098e-09,True
Mutation_burden.ERBB2,2.7666995090091788e-08,True
Mutation_burden.ERBB3,6.680140971961892e-08,True
Mutation_burden.NCOR1,-2.6914614622644396e-08,True
Mutation_burden.EP300,3.851573267881743e-08,True
Mutation_burden.BCOR,6.20952179270847e-08,True
Mutation_burden.PIK3R1,-8.043743701373585e-08,True
Mutation_burden.CIC,-3.688984765260587e-08,True
Mutation_burden.AR,-4.5469724762930484e-08,True
Mutation_burden.ALK,-5.656426103313744e-08,True
Mutation_burden.MSH6,-0.08031595340125247,True
Mutation_burden.NOTCH4,-0.14204416985138218,True
Mutation_burden.POLD1,-0.026426971967450395,True
Mutation_burden.TERT,1.0120649521274378e-08,True
Mutation_burden.PIK3CG,0.07816437536559467,True
Mutation_burden.TSC2,-0.03986468319213856,True
Mutation_burden.EPHA3,-1.0299619403848892e-07,True
Mutation_burden.SMAD2,8.635434821544808e-10,True
Mutation_burden.IRS1,8.044262871446335e-08,True
Mutation_burden.ATRX,1.3911976517375759e-08,True
Mutation_burden.SETD2,2.1529468823911192e-08,True
Mutation_burden.IRS2,5.1207464060812736e-08,True
Mutation_burden.CASP8,-0.2815426320445227,True
Mutation_burden.B2M,-0.0778490849763143,True
Mutation_burden.ARID2,0.06140562620694941,True
Mutation_burden.KDM5A,-2.595538398172573e-08,True
Mutation_burden.ATR,4.329827882814097e-08,True
Mutation_burden.PTPRD,0.1369683028441308,True
Mutation_burden.PLCG2,8.513657675429127e-09,True
Mutation_burden.EPHB1,-0.08562486427251752,True
Mutation_burden.ROS1,7.827296850413819e-08,True
Mutation_burden.TET1,8.444299161693717e-08,True
Mutation_burden.SMAD3,-3.503033644874428e-08,True
Mutation_burden.TET2,-1.897412328430952e-08,True
Mutation_burden.NRAS,0.2420072431913679,True
Mutation_burden.IGF1R,-7.385826520953874e-08,True
Mutation_burden.INPPL1,-1.131886129903497e-07,True
Mutation_burden.DNMT1,-7.987525507876286e-08,True
Mutation_burden.SOX17,0.06595191486893215,True
Mutation_burden.MED12,4.890883507256601e-08,True
Mutation_burden.GLI1,-1.1782395022806767e-07,True
Mutation_burden.TP53BP1,-1.1053549509388049e-07,True
Mutation_burden.KDR,-3.516878632253076e-08,True
Mutation_burden.PIK3C2G,-5.467907388054027e-08,True
Mutation_burden.DOT1L,1.3795132725843021e-08,True
Mutation_burden.NSD1,-0.07043346872279702,True
Mutation_burden.BRD4,-6.521774401356e-08,True
Mutation_burden.RECQL4,-0.03423346254426702,True
Mutation_burden.EPHA7,2.0532589856717397e-07,True
Mutation_burden.PBRM1,-1.4348684339749017e-07,True
Mutation_burden.MAP3K1,-1.5726570021889954e-07,True
Mutation_burden.CTCF,-8.83366864912277e-08,True
Mutation_burden.TBX3,-0.021049595121151024,True
Mutation_burden.SLX4,1.0865126144627931e-08,True
Mutation_burden.HLA.B,-0.035591647321637866,True
Mutation_burden.AXL,-1.1859339272429811e-07,True
Mutation_burden.RET,1.5960891691822552e-08,True
Mutation_burden.HNF1A,-0.05135108083281208,True
Mutation_burden.JAK1,-3.337683832264723e-08,True
Mutation_burden.NTRK3,-0.08081861456962125,True
Mutation_burden.NOTCH2,-0.08201903010540264,True
Mutation_burden.BLM,-0.15794512925839976,True
Mutation_burden.CDK12,-0.06036531973803044,True
Mutation_burden.LATS2,-0.15942979870894364,True
Mutation_burden.ESR1,-2.437970578332582e-09,True
Mutation_burden.MDC1,-0.04908771831710437,True
Mutation_burden.GNAS,0.06956351126991277,True
Mutation_burden.FLCN,-0.395907458768877,True
Mutation_burden.AXIN1,-0.00694405905625459,True
Mutation_burden.RPS6KA4,-8.807388739114156e-08,True
Mutation_burden.BRCA1,-2.3855882739478905e-07,True
Mutation_burden.IKZF1,5.297547922719843e-08,True
Mutation_burden.PGR,-3.290885948316427e-08,True
Mutation_burden.JAK3,1.123935227421006e-07,True
Mutation_burden.FLT1,7.563433463415721e-09,True
Mutation_burden.RASA1,-1.0121585006690952e-07,True
Mutation_burden.SMO,9.700394321581188e-08,True
Mutation_burden.KDM5C,3.5846410871631393e-08,True
Mutation_burden.DROSHA,1.793598652997901e-07,True
Mutation_burden.ERCC5,-6.242792671175475e-08,True
Mutation_burden.PDGFRA,-3.3214254299456286e-08,True
Mutation_burden.DICER1,-2.3584325058871002e-08,True
Mutation_burden.PIK3CD,2.3947486614193316e-08,True
Mutation_burden.ABL1,-0.3059373220514055,True
Mutation_burden.ARID5B,-5.068781896057858e-08,True
Mutation_burden.RBM10,0.20908968403761838,True
Mutation_burden.LATS1,-0.08741508752162223,True
Mutation_burden.MSH2,-0.2535678498742345,True
Mutation_burden.FANCA,-1.0750568106870098e-07,True
Mutation_burden.ASXL2,-3.7922445254981177e-08,True
Mutation_burden.RAD50,-1.47008213725095e-09,True
Mutation_burden.RPTOR,-0.03257586210419218,True
Mutation_burden.PPP2R1A,-1.1644465266084684e-07,True
Mutation_burden.NTRK1,2.3003087751857692e-07,True
Mutation_burden.PRKD1,9.038039057914793e-08,True
Mutation_burden.MST1R,4.005931041140544e-08,True
Mutation_burden.TCF3,-0.09850939091064419,True
Mutation_burden.MLH1,-1.0520385040431281e-07,True
Mutation_burden.SH2B3,-3.0377936992537453e-08,True
Mutation_burden.RB1,2.4772111143143133e-08,True
Mutation_burden.KDM6A,7.901742804011411e-08,True
Mutation_burden.ELF3,0.2778322930525086,True
Mutation_burden.CSF3R,-0.2930822284980231,True
Mutation_burden.PLK2,-1.6565676774830156e-07,True
Mutation_burden.INSR,-2.6537735715993173e-09,True
Mutation_burden.NSD2,3.344032530323261e-08,True
Mutation_burden.DNMT3B,1.870972418435866e-07,True
Mutation_burden.PDGFRB,-1.9821708045337084e-07,True
Mutation_burden.GATA3,-0.06384033375793138,True
Mutation_burden.HLA.A,-2.1521876051671386e-07,True
Mutation_burden.TSC1,2.4700267419691815e-07,True
Mutation_burden.NSD3,-2.7904717179943835e-08,True
Mutation_burden.HGF,-1.7860551402565738e-07,True
Mutation_burden.UPF1,-0.11284000671829136,True
Mutation_burden.FGFR3,-1.880942781903012e-07,True
Mutation_burden.NCOA3,1.6426600850288648e-08,True
Mutation_burden.FGFR4,5.19078226861856e-08,True
Mutation_burden.CDH1,3.711499895864314e-08,True
Mutation_burden.NBN,-3.6397481716054273e-08,True
Mutation_burden.DNMT3A,-5.0345196000159005e-08,True
Mutation_burden.EGFR,1.4312653084485207e-07,True
Mutation_burden.TEK,0.37349864944517747,True
Mutation_burden.PPM1D,-2.6570173791184986e-08,True
Mutation_burden.AGO2,-0.07239613248562951,True
Mutation_burden.ERF,-0.015686120513807567,True
Mutation_burden.KIT,-3.013106577996495e-08,True
Mutation_burden.FOXP1,5.6148725016825605e-08,True
Mutation_burden.MAP2K4,0.0026924457088655677,True
Mutation_burden.INHBA,2.479253689900694e-07,True
Mutation_burden.TP63,-1.2289570783071953e-07,True
Mutation_burden.BRIP1,-1.9003577754898975e-07,True
Mutation_burden.PIK3CB,8.2791105099715e-08,True
Mutation_burden.PRKN,2.6458030878221725e-07,True
Mutation_burden.PALB2,4.394071013786893e-08,True
Mutation_burden.RICTOR,9.93348926996845e-09,True
Mutation_burden.ERG,-3.662743031178161e-08,True
Mutation_burden.INPP4A,-1.7800166383988066e-07,True
Mutation_burden.ARAF,-1.2578951014756082e-08,True
Mutation_burden.TGFBR1,0.02776950640693726,True
Mutation_burden.PIK3R2,0.08130090023170738,True
Mutation_burden.STAT5B,-2.2636187810569566e-07,True
Mutation_burden.PAX5,8.569888659096732e-08,True
Mutation_burden.AKT1,-9.524866902886e-08,True
Mutation_burden.PDCD1,1.2946842764945938e-07,True
Mutation_burden.MYOD1,3.7467266165554634e-08,True
Mutation_burden.ETV1,-2.874818052418801e-07,True
Mutation_burden.MET,3.8252651051534917e-10,True
Mutation_burden.TNFAIP3,-1.5839087269873997e-07,True
Mutation_burden.TSHR,2.3594541865561038e-07,True
Mutation_burden.BARD1,2.3175244979266088e-09,True
Mutation_burden.MRE11,-0.10179598514375734,True
Mutation_burden.CSF1R,-0.2785266639492001,True
Mutation_burden.INPP4B,1.3372163518420837e-07,True
Mutation_burden.MAP3K13,-1.258478133521497e-07,True
Mutation_burden.TRAF7,-0.4008085701475291,True
Mutation_burden.ZNRF3,1.4613281260382185e-08,True
Mutation_burden.CDC73,-7.745819611317308e-08,True
Mutation_burden.FGFR1,-5.691733048739768e-08,True
Mutation_burden.FLT3,0.14736019884256088,True
Mutation_burden.ERCC4,1.7219640288891935e-07,True
Mutation_burden.DIS3,0.13537413667150616,True
Mutation_burden.TAP2,-9.15994727417307e-08,True
Mutation_burden.NTRK2,4.5145490184645224e-08,True
Mutation_burden.SF3B1,-0.30324000814095303,True
Mutation_burden.ERCC2,-4.7634539968416764e-08,True
Mutation_burden.MYCN,3.1117053849431884e-08,True
Mutation_burden.SOS1,1.314136711364328e-08,True
Mutation_burden.DDR2,7.444651662879484e-08,True
Mutation_burden.RAF1,-1.2319653935967053e-07,True
Mutation_burden.RAD54L,1.0358760181342779e-08,True
Mutation_burden.RECQL,-1.5293234838384569e-07,True
Mutation_burden.PIK3C3,-2.5380848708017975e-07,True
Mutation_burden.PARP1,2.0656367401376614e-07,True
Mutation_burden.RARA,7.109870536640443e-08,True
Mutation_burden.RUNX1,2.5350076452802706e-07,True
Mutation_burden.ALOX12B,-0.11688442288535132,True
Mutation_burden.NKX2.1,-0.036948255005785545,True
Mutation_burden.BMPR1A,1.1298275390291925e-07,True
Mutation_burden.WT1,-6.560168655232692e-08,True
Mutation_burden.MEN1,-9.531252534897058e-08,True
Mutation_burden.STAG2,-5.668579811866612e-08,True
Mutation_burden.IL7R,-8.449070142332814e-08,True
Mutation_burden.KEAP1,7.431153953100889e-08,True
Mutation_burden.FGFR2,1.0999675465696938e-07,True
Mutation_burden.BAP1,3.328172805257874e-08,True
Mutation_burden.DAXX,9.187348630934757e-08,True
Mutation_burden.PRDM1,-1.0077917744890934e-07,True
Mutation_burden.BCL6,-4.650014789844721e-08,True
Mutation_burden.NUP93,3.6178978186002865e-08,True
Mutation_burden.PAK5,2.6675147510497264e-08,True
Mutation_burden.EPAS1,1.6422263687468535e-07,True
Mutation_burden.IRF4,-6.060056599687372e-08,True
Mutation_burden.MITF,0.12147308568033673,True
Mutation_burden.PMS1,3.140151161499088e-08,True
Mutation_burden.MEF2B,0.10642630654750661,True
Mutation_burden.CYLD,-2.4543613704926273e-08,True
Mutation_burden.SMARCA2,1.5928133717663322e-07,True
Mutation_burden.STK11,1.2101769147488653e-07,True
Mutation_burden.ETV6,-0.057237846285984294,True
Mutation_burden.JAK2,2.1868386314667974e-08,True
Mutation_burden.MUTYH,-0.30487189385037866,True
Mutation_burden.FOXO1,5.409184701505042e-08,True
Mutation_burden.FGF3,-7.655372469681941e-08,True
Mutation_burden.SMARCB1,-1.8431739314465832e-07,True
Mutation_burden.RXRA,5.6286845639555436e-08,True
Mutation_burden.COP1,-4.6530888755259084e-08,True
Mutation_burden.TAP1,-5.1527138858058045e-09,True
Mutation_burden.FUBP1,1.3719773905520179e-08,True
Mutation_burden.CDK8,-3.592964802669849e-07,True
Mutation_burden.CBL,3.6188007878096675e-08,True
Mutation_burden.IKBKE,-2.9381569889455783e-07,True
Mutation_burden.CDKN2A,-1.3202651047397263e-07,True
Mutation_burden.ERCC3,-3.019022065633688e-08,True
Mutation_burden.EZH2,1.2659945612402523e-07,True
Mutation_burden.TRAF2,-6.061044150264434e-08,True
Mutation_burden.SRC,-0.23744863000376473,True
Mutation_burden.CUL3,-5.3991829466987336e-08,True
Mutation_burden.STAT3,-7.278363442038372e-08,True
Mutation_burden.MAP2K1,0.47276416269932214,True
Mutation_burden.JUN,-1.6292371169503195e-07,True
Mutation_burden.GATA2,-1.3918245836656685e-07,True
Mutation_burden.PTPN11,8.886075916987539e-08,True
Mutation_burden.CHEK2,-2.6067093828503583e-07,True
Mutation_burden.CSDE1,-4.3636136905056145e-08,True
Mutation_burden.ARHGAP35,-4.3633521197291505e-08,True
Mutation_burden.AKT3,4.3687134565695363e-08,True
Mutation_burden.NEGR1,-4.633125607838588e-08,True
Mutation_burden.TOP1,7.141530586957021e-08,True
Mutation_burden.PRKCI,-0.21289260386154638,True
Mutation_burden.FH,0.023019118303638963,True
Mutation_burden.PRDM14,2.0533437865278217e-07,True
Mutation_burden.SDHA,-4.094601740309309e-08,True
Mutation_burden.XPO1,0.09213487631917515,True
Mutation_burden.PMS2,1.5483246721352604e-07,True
Mutation_burden.FYN,-7.489886380145079e-08,True
Mutation_burden.CARM1,0.09560482460508139,True
Mutation_burden.IDH2,-2.297077237195649e-07,True
Mutation_burden.CHEK1,-1.507233870653387e-07,True
Mutation_burden.SOX2,-1.6623006368249697e-07,True
Mutation_burden.PIK3R3,-1.4479569247996732e-07,True
Mutation_burden.PHOX2B,2.416590773293315e-07,True
Mutation_burden.CD79A,-0.3501059777116408,True
Mutation_burden.BTK,1.3657444064545173e-07,True
Mutation_burden.RAD21,-0.06370641979973567,True
Mutation_burden.SYK,2.0404701006155716e-08,True
Mutation_burden.MPL,2.573936533649565e-07,True
Mutation_burden.IDH1,4.023085148223847e-07,True
Mutation_burden.MSI1,1.368632043486159e-07,True
Mutation_burden.SHQ1,-1.1999516787593173e-07,True
Mutation_burden.REL,0.2210132866781293,True
Mutation_burden.INHA,-6.9699346853805385e-09,True
Mutation_burden.U2AF1,-1.5146929045689974e-09,True
Mutation_burden.FOXL2,-1.4415282250195162e-07,True
Mutation_burden.SUZ12,2.8130485457576195e-07,True
Mutation_burden.RPS6KB2,6.135334621247964e-08,True
Mutation_burden.LZTR1,0.11938264862594629,True
Mutation_burden.SMARCD1,0.07087546856745083,True
Mutation_burden.CTR9,-1.5948756679160216e-08,True
Mutation_burden.EZH1,9.137742576227099e-08,True
Mutation_burden.MALT1,1.9380928529721178e-07,True
Mutation_burden.YES1,1.6885289591752708e-07,True
Mutation_burden.MAP2K2,1.596699057575723e-07,True
Mutation_burden.ICOSLG,-1.9269659851600153e-08,True
Mutation_burden.H1.2,-0.1465515145966391,True
Mutation_burden.STAT5A,-0.12241745834652551,True
Mutation_burden.FANCC,2.5449779187489577e-07,True
Mutation_burden.CD276,-6.03553023263791e-08,True
Mutation_burden.ATXN7,-1.6900243517398275e-07,True
Mutation_burden.GNA11,-8.203803241036559e-08,True
Mutation_burden.ZRSR2,1.5584693357912315e-07,True
Mutation_burden.NFE2L2,-7.357128664808094e-08,True
Mutation_burden.CDKN1B,2.701433932120296e-07,True
Mutation_burden.E2F3,-3.6965145873712166e-07,True
Mutation_burden.IFNGR1,7.384748483964631e-08,True
Mutation_burden.SPRED1,1.233405991160859e-07,True
Mutation_burden.SUFU,-4.204906302240754e-08,True
Mutation_burden.MST1,-1.4123620471605527e-07,True
Mutation_burden.RTEL1.TNFRSF6B,-6.54801529274434e-08,True
Mutation_burden.GATA1,-4.374489816197898e-08,True
