covariate,coef,penalized
GENDER_Male,0.34081184191799946,False
AGE,-0.015035069923862065,False
Mutation_burden.TP53,0.2842045750397004,True
Mutation_burden.KRAS,0.04686541038824976,True
Mutation_burden.EGFR,-0.04532506126360378,True
Mutation_burden.STK11,0.21139120579559503,True
Mutation_burden.KEAP1,0.30567203078495764,True
Mutation_burden.RBM10,4.798090592112002e-08,True
Mutation_burden.PTPRD,-0.06849934075537062,True
Mutation_burden.KMT2D,0.018171100025762423,True
Mutation_burden.NF1,3.1597996750303427e-07,True
Mutation_burden.SMARCA4,0.2602607680625815,True
Mutation_burden.FAT1,0.032085632053199004,True
Mutation_burden.ATM,0.11247749846851293,True
Mutation_burden.ARID1A,9.330102714343867e-09,True
Mutation_burden.PTPRT,-0.032219611351239526,True
Mutation_burden.CDKN2A,-4.074283088494903e-08,True
Mutation_burden.KMT2C,-0.020051095498895916,True
Mutation_burden.PIK3CA,-6.412576606788761e-08,True
Mutation_burden.EPHA5,-2.1626364559474018e-07,True
Mutation_burden.EPHA3,-0.04114186317027532,True
Mutation_burden.GRIN2A,0.1706258669594197,True
Mutation_burden.BRAF,-1.598213283172843e-08,True
Mutation_burden.MET,-2.420075822781103e-07,True
Mutation_burden.ATRX,6.587735595666415e-08,True
Mutation_burden.RB1,0.07323944268115515,True
Mutation_burden.MGA,1.4902171544858382e-08,True
Mutation_burden.SETD2,-1.8537642515295497e-07,True
Mutation_burden.ZFHX3,-0.010281516052320892,True
Mutation_burden.TERT,5.5253745824056154e-08,True
Mutation_burden.HGF,6.022977974585228e-08,True
Mutation_burden.NTRK3,-4.539131208776841e-09,True
Mutation_burden.MED12,-0.08431617226217478,True
Mutation_burden.PIK3CG,-2.1740200933538588e-07,True
Mutation_burden.ERBB4,-2.3226470666173447e-08,True
Mutation_burden.KDR,-8.838964680597156e-08,True
Mutation_burden.ARID2,1.8992224611875004e-07,True
Mutation_burden.APC,0.05684067532512066,True
Mutation_burden.NOTCH4,9.726052844423484e-09,True
Mutation_burden.ALK,-0.012062699303569813,True
Mutation_burden.AMER1,-1.545373062416805e-07,True
Mutation_burden.PREX2,-5.367997289387066e-09,True
Mutation_burden.ERBB2,2.1205789805915575e-07,True
Mutation_burden.EPHB1,-0.07677308045465406,True
Mutation_burden.ATR,-1.1729238853723478e-07,True
Mutation_burden.NOTCH1,-0.052514848834434406,True
Mutation_burden.PDGFRA,-1.0657461080156881e-07,True
Mutation_burden.BCOR,-6.30294278553991e-08,True
Mutation_burden.CREBBP,1.2431829101208789e-07,True
Mutation_burden.PIK3C2G,-0.030009885662668354,True
Mutation_burden.NOTCH3,2.8816546162404657e-07,True
Mutation_burden.SMAD4,7.288430339036867e-08,True
Mutation_burden.FLT1,4.1307489669566126e-08,True
Mutation_burden.PTEN,0.20648044456942233,True
Mutation_burden.PAK5,-1.8123946815655988e-07,True
Mutation_burden.POLE,-0.07525073261186278,True
Mutation_burden.BRCA2,2.3304169918675356e-07,True
Mutation_burden.TBX3,-0.03733580542393902,True
Mutation_burden.EPHA7,5.643794920636649e-08,True
Mutation_burden.TET1,-0.028922045213724167,True
Mutation_burden.NFE2L2,0.3400057400193162,True
Mutation_burden.CARD11,-1.791975469309316e-08,True
Mutation_burden.EP300,0.1279428985117656,True
Mutation_burden.ARID1B,-0.15484372286528852,True
