covariate,coef,penalized
AGE,0.006021711412028318,False
Mutation_burden.TP53,0.6740705419921517,True
Mutation_burden.FOXA1,-3.5426559963461496e-08,True
Mutation_burden.SPOP,-0.19235374058372667,True
Mutation_burden.PTEN,2.334430045542605e-08,True
Mutation_burden.APC,0.011592341153629117,True
Mutation_burden.KMT2D,2.6011213989493905e-08,True
Mutation_burden.KMT2C,-2.84573120590436e-08,True
Mutation_burden.CDK12,0.14248806682382428,True
Mutation_burden.ZFHX3,-1.3906293236572312e-07,True
Mutation_burden.PIK3CA,1.511139422498557e-07,True
Mutation_burden.ATM,-1.3749423837177943e-07,True
Mutation_burden.CTNNB1,0.1242941572936723,True
Mutation_burden.BRCA2,1.486986259209389e-07,True
Mutation_burden.AR,0.5750604931749346,True
Mutation_burden.MGA,-0.09503314412981724,True
Mutation_burden.KDM6A,-3.847050156927677e-07,True
Mutation_burden.GRIN2A,1.0182543562719901e-07,True
Mutation_burden.MED12,-1.764886197329728e-07,True
Mutation_burden.JAK1,-1.0868217380149066e-07,True
Mutation_burden.RB1,0.5796793359908464,True
Mutation_burden.SPEN,-1.659676400417514e-07,True
Mutation_burden.PTPRD,-1.715905676809496e-07,True
Mutation_burden.ERF,-8.717565058635985e-08,True
Mutation_burden.ASXL1,-2.3685804569373345e-07,True
Mutation_burden.NCOR1,-3.9356638142848427e-07,True
Mutation_burden.ARID1A,8.10499321666033e-08,True
Mutation_burden.SETD2,-1.4483169371053058e-07,True
Mutation_burden.KMT2A,-0.07221368560262723,True
Mutation_burden.FAT1,-2.4734368979103796e-07,True
Mutation_burden.KMT2B,9.959533389301716e-08,True
Mutation_burden.AKT1,7.93571619726709e-07,True
Mutation_burden.RNF43,-5.990298092943237e-07,True
Mutation_burden.BRAF,-4.467732481152355e-08,True
Mutation_burden.PIK3R1,5.012922910264097e-07,True
Mutation_burden.MTOR,-3.196688695180538e-07,True
Mutation_burden.ASXL2,1.9293498230334e-07,True
Mutation_burden.ARID1B,-1.6083701063543788e-07,True
Mutation_burden.NOTCH1,-2.982930676279554e-08,True
Mutation_burden.NF1,1.4062004410324585e-07,True
Mutation_burden.POLE,-4.31819940302024e-07,True
Mutation_burden.EPHB1,6.368144466476877e-07,True
Mutation_burden.PIK3CG,2.214477344137701e-08,True
Mutation_burden.SF3B1,-9.631143023554322e-08,True
Mutation_burden.NOTCH3,-5.813071670059208e-07,True
Mutation_burden.SMARCA4,-0.046421957111669805,True
Mutation_burden.CIC,-5.7856989679626474e-08,True
Mutation_burden.TBX3,-1.771493383052635e-07,True
Mutation_burden.TET1,-1.6629300562887115e-07,True
Mutation_burden.ALK,2.1279351187037436e-07,True
Mutation_burden.ANKRD11,-0.10567321330006485,True
Mutation_burden.DOT1L,-2.3622822905974457e-07,True
Mutation_burden.ROS1,0.14110056839772062,True
Mutation_burden.CREBBP,-0.20006525886768953,True
Mutation_burden.STAT3,-4.729747160161163e-07,True
Mutation_burden.ATR,-7.846953700374394e-08,True
Mutation_burden.EP300,-4.1487641774401706e-07,True
Mutation_burden.NSD1,-2.9912383334839733e-07,True
Mutation_burden.PTCH1,-7.855937991108805e-09,True
Mutation_burden.EPHA3,2.647924397636028e-07,True
Mutation_burden.ARID2,-1.6072679219799924e-07,True
Mutation_burden.FLT4,-6.7283171813387675e-09,True
Mutation_burden.TP53BP1,-8.919367739748258e-08,True
Mutation_burden.PGR,1.3754576809665462e-07,True
Mutation_burden.CDH1,2.0979941368028538e-07,True
Mutation_burden.RYBP,-1.8530538304636014e-07,True
Mutation_burden.TSC2,-0.13734788217345692,True
Mutation_burden.NOTCH2,0.5047324478814659,True
Mutation_burden.TERT,8.868580221008225e-08,True
Mutation_burden.NOTCH4,-8.231002273383963e-08,True
Mutation_burden.PTPRS,1.3584382451616558e-07,True
Mutation_burden.IRS2,-3.2392320433384134e-07,True
Mutation_burden.FOXP1,5.26927433784256e-08,True
Mutation_burden.CARD11,3.5047176285529853e-07,True
Mutation_burden.POLD1,-1.3952547960007037e-07,True
Mutation_burden.PTPRT,-2.9373462142758972e-08,True
Mutation_burden.CDKN1B,5.028355115189373e-07,True
Mutation_burden.TMPRSS2,5.504898809971992e-08,True
Mutation_burden.KDR,-2.6212148226360586e-07,True
Mutation_burden.KRAS,-3.266230452710912e-07,True
Mutation_burden.ETV1,-2.414229162315323e-07,True
Mutation_burden.CUL3,4.242196044125517e-08,True
