covariate,coef,penalized
GENDER_Male,-0.3081262053449133,False
AGE,0.01975192685251653,False
Mutation_burden.TP53,-0.4504518696813181,True
Mutation_burden.PIK3CA,0.0,True
Mutation_burden.GATA3,0.0,True
Mutation_burden.CDH1,-0.005049347203272945,True
Mutation_burden.KMT2C,0.0,True
Mutation_burden.MAP3K1,0.0,True
Mutation_burden.ESR1,0.0,True
Mutation_burden.PTEN,-0.25161933451485363,True
Mutation_burden.ARID1A,0.0,True
Mutation_burden.TBX3,0.0,True
Mutation_burden.AKT1,0.0,True
Mutation_burden.CBFB,0.0,True
Mutation_burden.FOXA1,0.0,True
Mutation_burden.NF1,0.0,True
Mutation_burden.KMT2D,0.0,True
Mutation_burden.MAP2K4,0.0,True
Mutation_burden.SPEN,0.0,True
Mutation_burden.RB1,0.0,True
Mutation_burden.ERBB2,-0.10099118066447875,True
Mutation_burden.NCOR1,0.0,True
Mutation_burden.RUNX1,0.0,True
Mutation_burden.FAT1,-0.4479886576323907,True
Mutation_burden.ZFHX3,0.0,True
Mutation_burden.ATM,0.0,True
Mutation_burden.BRCA2,0.0,True
Mutation_burden.PIK3R1,0.0,True
Mutation_burden.SF3B1,0.0,True
Mutation_burden.KMT2A,0.0,True
Mutation_burden.CREBBP,0.0,True
Mutation_burden.NOTCH1,0.0,True
Mutation_burden.NOTCH2,0.0,True
Mutation_burden.ATRX,0.0,True
Mutation_burden.BRCA1,0.0,True
Mutation_burden.ERBB3,0.04377305966492586,True
Mutation_burden.KDM6A,0.0,True
Mutation_burden.MGA,0.0,True
Mutation_burden.ANKRD11,-0.1260905714274724,True
Mutation_burden.ATR,-0.17797346562757568,True
Mutation_burden.KMT2B,0.0,True
Mutation_burden.EP300,-0.09362299265147067,True
Mutation_burden.MEN1,0.0,True
Mutation_burden.NOTCH3,0.0,True
Mutation_burden.SETD2,0.0,True
Mutation_burden.PTPRD,0.0,True
Mutation_burden.ARID1B,0.0,True
Mutation_burden.MED12,0.0,True
Mutation_burden.MTOR,0.0,True
Mutation_burden.PTPRS,0.0,True
Mutation_burden.JAK1,0.18291731028798108,True
Mutation_burden.ALK,0.0,True
Mutation_burden.ARID2,0.0,True
Mutation_burden.SMAD4,0.0,True
Mutation_burden.CDKN1B,0.0,True
Mutation_burden.NOTCH4,-0.19313465024052562,True
Mutation_burden.POLE,0.0,True
Mutation_burden.TERT,0.0,True
Mutation_burden.GRIN2A,0.5277395694301343,True
Mutation_burden.INPPL1,0.0,True
Mutation_burden.STAG2,-0.2125047156639319,True
Mutation_burden.NSD1,0.0,True
Mutation_burden.PTPRT,0.5010806459785215,True
Mutation_burden.TET1,0.0,True
Mutation_burden.RICTOR,-0.046523686227061004,True
Mutation_burden.PREX2,0.0,True
Mutation_burden.IGF1R,0.0,True
Mutation_burden.PIK3CG,-0.11199946265285558,True
Mutation_burden.APC,-0.03558921903250302,True
Mutation_burden.ROS1,0.0,True
Mutation_burden.TSC2,0.017671164974630307,True
Mutation_burden.FOXP1,0.0,True
Mutation_burden.BRD4,0.0,True
Mutation_burden.DNMT3A,0.0,True
Mutation_burden.TET2,0.4005528623448284,True
Mutation_burden.CTCF,-0.06334454111925421,True
Mutation_burden.KDM5C,0.0,True
Mutation_burden.PBRM1,0.0,True
Mutation_burden.EGFR,0.0,True
Mutation_burden.CDK12,-0.013503337426203669,True
Mutation_burden.TSC1,0.0,True
Mutation_burden.SMARCA4,0.0,True
Mutation_burden.CARD11,0.0,True
Mutation_burden.CIC,0.0,True
Mutation_burden.FLT4,0.0,True
Mutation_burden.GPS2,0.0,True
Mutation_burden.DOT1L,0.0,True
Mutation_burden.BCOR,0.0,True
Mutation_burden.PALB2,0.0,True
Mutation_burden.FLT1,-0.004726836470501162,True
Mutation_burden.PLK2,0.0,True
Mutation_burden.ERBB4,0.0,True
Mutation_burden.EPHB1,0.0,True
Mutation_burden.AR,0.0,True
Mutation_burden.LATS1,0.0,True
Mutation_burden.FGFR4,0.0,True
Mutation_burden.BAP1,0.0,True
Mutation_burden.KDM5A,-0.1762361636729933,True
Mutation_burden.EPHA5,0.0,True
Mutation_burden.ASXL1,0.0,True
