covariate,coef,penalized
GENDER_Male,-0.2635552866659565,False
AGE,0.027674989682451724,False
Mutation_burden.APC,0.05087443319080014,True
Mutation_burden.TP53,-0.06020370975945876,True
Mutation_burden.KRAS,-0.7330069386396446,True
Mutation_burden.PIK3CA,0.0,True
Mutation_burden.FBXW7,0.10145913148001694,True
Mutation_burden.SMAD4,-0.15985657054410535,True
Mutation_burden.TCF7L2,0.0,True
Mutation_burden.ARID1A,0.12338429924039176,True
Mutation_burden.SOX9,0.0,True
Mutation_burden.KMT2D,0.0,True
Mutation_burden.BRAF,-0.8914744010920925,True
Mutation_burden.PTPRS,0.0,True
Mutation_burden.RNF43,0.0,True
Mutation_burden.PTPRT,0.0,True
Mutation_burden.ZFHX3,0.0,True
Mutation_burden.ATM,0.0,True
Mutation_burden.KMT2C,0.0,True
Mutation_burden.KMT2B,-0.09284451075303223,True
Mutation_burden.NOTCH3,0.0,True
Mutation_burden.AMER1,0.0,True
Mutation_burden.FAT1,0.0,True
Mutation_burden.CTNNB1,0.22383409846905417,True
Mutation_burden.CREBBP,0.0,True
Mutation_burden.CARD11,0.0,True
Mutation_burden.SPEN,0.0,True
Mutation_burden.BRCA2,0.0,True
Mutation_burden.ANKRD11,-0.18460570827893097,True
Mutation_burden.ARID1B,0.0,True
Mutation_burden.EPHA5,0.0,True
Mutation_burden.NOTCH1,0.0,True
Mutation_burden.PTEN,0.0,True
Mutation_burden.GRIN2A,0.0,True
Mutation_burden.FLT4,0.0,True
Mutation_burden.MGA,0.3578432730903316,True
Mutation_burden.ERBB4,0.0,True
Mutation_burden.AXIN2,-0.24829818119539934,True
Mutation_burden.POLE,0.0,True
Mutation_burden.MSH3,-1.3862283960976924,True
Mutation_burden.KMT2A,0.0,True
Mutation_burden.SMARCA4,0.0,True
Mutation_burden.ASXL1,-0.0034102891817404065,True
Mutation_burden.PREX2,-0.5125809096762564,True
Mutation_burden.NF1,-0.14828088251698893,True
Mutation_burden.TGFBR2,0.0,True
Mutation_burden.MTOR,0.0,True
Mutation_burden.PTCH1,0.0,True
Mutation_burden.ERBB2,0.0,True
Mutation_burden.ERBB3,0.0,True
Mutation_burden.NCOR1,0.0,True
Mutation_burden.EP300,0.0,True
Mutation_burden.BCOR,0.0,True
Mutation_burden.PIK3R1,0.0,True
Mutation_burden.CIC,0.0,True
Mutation_burden.AR,0.0,True
Mutation_burden.ALK,0.0,True
Mutation_burden.MSH6,0.0,True
Mutation_burden.NOTCH4,0.0,True
Mutation_burden.POLD1,0.0,True
Mutation_burden.TERT,0.0,True
Mutation_burden.PIK3CG,0.0,True
Mutation_burden.TSC2,0.5481931041374146,True
Mutation_burden.EPHA3,0.0,True
Mutation_burden.SMAD2,0.26922972955810953,True
Mutation_burden.IRS1,-0.37236905417003335,True
Mutation_burden.ATRX,0.0,True
Mutation_burden.SETD2,0.0,True
Mutation_burden.IRS2,0.0,True
Mutation_burden.CASP8,0.49564466150076475,True
Mutation_burden.B2M,0.0,True
Mutation_burden.ARID2,0.0,True
Mutation_burden.KDM5A,0.0,True
Mutation_burden.ATR,0.0,True
Mutation_burden.PTPRD,-0.029548122951788425,True
Mutation_burden.PLCG2,0.0,True
Mutation_burden.EPHB1,0.0,True
Mutation_burden.ROS1,0.0,True
Mutation_burden.TET1,0.0,True
Mutation_burden.SMAD3,0.09042694256655243,True
Mutation_burden.TET2,0.0,True
Mutation_burden.NRAS,-0.27581449490165033,True
Mutation_burden.IGF1R,0.0,True
Mutation_burden.INPPL1,-0.2506512564639117,True
Mutation_burden.DNMT1,0.0,True
Mutation_burden.SOX17,0.0,True
Mutation_burden.MED12,0.036427697027846054,True
Mutation_burden.GLI1,0.0,True
Mutation_burden.TP53BP1,-0.6412158981363899,True
Mutation_burden.KDR,0.0,True
