covariate,coef,penalized
GENDER_Male,0.02570899371049222,False
AGE,0.02045297872915058,False
Mutation_burden.KRAS,-1.056788994786859,True
Mutation_burden.TP53,-0.6265693483921421,True
Mutation_burden.CDKN2A,-0.21517800100294904,True
Mutation_burden.SMAD4,0.0,True
Mutation_burden.ARID1A,0.0,True
Mutation_burden.RNF43,0.0,True
Mutation_burden.MEN1,0.8609502341685366,True
Mutation_burden.KMT2D,0.0,True
Mutation_burden.KDM6A,0.0,True
Mutation_burden.TGFBR2,0.0,True
Mutation_burden.KMT2C,-0.05017502416875194,True
Mutation_burden.ATM,-0.21782846654265015,True
Mutation_burden.RBM10,0.0,True
Mutation_burden.GNAS,0.4691716581251971,True
Mutation_burden.RB1,-0.08824499927503308,True
Mutation_burden.DAXX,0.8134933228934395,True
Mutation_burden.ATRX,1.0106803231258172,True
Mutation_burden.TGFBR1,0.0,True
Mutation_burden.BRCA2,0.5140941609323771,True
Mutation_burden.PIK3CA,0.5040459104183631,True
Mutation_burden.SMARCA4,-0.07652993193739273,True
Mutation_burden.SETD2,0.0,True
Mutation_burden.PTPRT,0.0,True
Mutation_burden.BCOR,0.0,True
Mutation_burden.U2AF1,0.0,True
Mutation_burden.STK11,0.0,True
Mutation_burden.ZFHX3,-0.123522812461496,True
Mutation_burden.PTPRS,-0.23724280184800378,True
Mutation_burden.TSC2,0.0,True
Mutation_burden.ERBB4,0.0,True
Mutation_burden.PREX2,0.15235746370010403,True
Mutation_burden.ARID2,-0.15735489001557953,True
Mutation_burden.MGA,-0.18348513118121332,True
Mutation_burden.SF3B1,0.0,True
Mutation_burden.TERT,0.0,True
Mutation_burden.NOTCH1,0.0,True
Mutation_burden.SMAD3,0.0,True
Mutation_burden.APC,-0.35784734751559494,True
Mutation_burden.FLT4,0.0,True
Mutation_burden.NOTCH3,0.0,True
Mutation_burden.FAT1,0.0,True
Mutation_burden.FBXW7,0.8683834779026284,True
Mutation_burden.MAP2K4,-0.017368557377575776,True
Mutation_burden.BRAF,0.0,True
Mutation_burden.PTEN,0.3261562678470884,True
Mutation_burden.EP300,0.0,True
Mutation_burden.CTNNB1,0.0,True
Mutation_burden.PBRM1,0.0,True
Mutation_burden.EPHA5,0.0,True
Mutation_burden.AXIN2,0.0,True
Mutation_burden.EPHB1,0.0,True
Mutation_burden.ANKRD11,-0.055324351032762495,True
Mutation_burden.PTPRD,0.0,True
Mutation_burden.CREBBP,0.0,True
Mutation_burden.ELF3,-0.00203950696450579,True
Mutation_burden.ARID1B,0.0,True
Mutation_burden.NF1,0.0,True
