covariate,coef,penalized
GENDER_Male,21.55345176180275,False
AGE,-0.008325518065371594,False
Mutation_burden.TP53,-0.8512388446141989,True
Mutation_burden.FOXA1,0.0,True
Mutation_burden.SPOP,0.35808575839602935,True
Mutation_burden.PTEN,-0.03552408958074993,True
Mutation_burden.APC,0.0,True
Mutation_burden.KMT2D,-0.3625067942402257,True
Mutation_burden.KMT2C,0.009947714281762875,True
Mutation_burden.CDK12,-0.15192937381217175,True
Mutation_burden.ZFHX3,0.0,True
Mutation_burden.PIK3CA,-0.06881201397282467,True
Mutation_burden.ATM,-0.2849293825939066,True
Mutation_burden.CTNNB1,-0.16649062175682175,True
Mutation_burden.BRCA2,-0.4503710865005691,True
Mutation_burden.AR,-0.06356256908993509,True
Mutation_burden.MGA,0.0,True
Mutation_burden.KDM6A,0.0,True
Mutation_burden.GRIN2A,-0.3377653839901933,True
Mutation_burden.MED12,0.0,True
Mutation_burden.JAK1,0.0,True
Mutation_burden.RB1,-0.7162519389640742,True
Mutation_burden.SPEN,0.0,True
Mutation_burden.PTPRD,0.0,True
Mutation_burden.ERF,0.0,True
Mutation_burden.ASXL1,0.0,True
Mutation_burden.NCOR1,0.0,True
Mutation_burden.ARID1A,0.0,True
Mutation_burden.SETD2,0.0,True
Mutation_burden.KMT2A,0.0,True
Mutation_burden.FAT1,0.0,True
Mutation_burden.KMT2B,0.0,True
Mutation_burden.AKT1,-0.34928921777008937,True
Mutation_burden.RNF43,0.0,True
Mutation_burden.BRAF,0.0,True
Mutation_burden.PIK3R1,0.0,True
Mutation_burden.MTOR,0.0,True
Mutation_burden.ASXL2,0.0,True
Mutation_burden.ARID1B,0.0,True
Mutation_burden.NOTCH1,0.0,True
Mutation_burden.NF1,0.0,True
Mutation_burden.POLE,0.0,True
Mutation_burden.EPHB1,0.0,True
Mutation_burden.PIK3CG,-0.03644173721147878,True
Mutation_burden.SF3B1,0.0,True
Mutation_burden.NOTCH3,0.0,True
Mutation_burden.SMARCA4,0.0,True
Mutation_burden.CIC,0.0,True
Mutation_burden.TBX3,0.0,True
Mutation_burden.TET1,-0.14858854494877047,True
Mutation_burden.ALK,0.0,True
Mutation_burden.ANKRD11,0.0,True
Mutation_burden.DOT1L,0.0,True
Mutation_burden.ROS1,0.0,True
Mutation_burden.CREBBP,0.0,True
Mutation_burden.STAT3,0.0,True
Mutation_burden.ATR,0.0,True
Mutation_burden.EP300,0.0,True
Mutation_burden.NSD1,0.0,True
Mutation_burden.PTCH1,0.0,True
Mutation_burden.EPHA3,0.0,True
Mutation_burden.ARID2,0.0,True
Mutation_burden.FLT4,-0.11502762176897531,True
Mutation_burden.TP53BP1,0.0,True
Mutation_burden.PGR,0.0,True
Mutation_burden.CDH1,0.0,True
Mutation_burden.RYBP,0.0026439610349993994,True
Mutation_burden.TSC2,0.0,True
Mutation_burden.NOTCH2,0.0,True
Mutation_burden.TERT,0.0,True
Mutation_burden.NOTCH4,0.0,True
Mutation_burden.PTPRS,0.0,True
Mutation_burden.IRS2,0.0,True
Mutation_burden.FOXP1,0.0,True
Mutation_burden.CARD11,0.0,True
Mutation_burden.POLD1,0.0,True
Mutation_burden.PTPRT,0.0,True
Mutation_burden.CDKN1B,-0.17433545966509678,True
Mutation_burden.TMPRSS2,0.0,True
Mutation_burden.KDR,0.0,True
Mutation_burden.KRAS,0.0,True
Mutation_burden.ETV1,0.0,True
Mutation_burden.CUL3,0.0,True
